date,open,high,low,close,adjusted_close,volume
2025-11-18,25.2,25.4,25.1,0.0,25.2,3427800
2024-12-31,25.4,25.8,25.35,25.8,21.56,8841000
2024-12-30,25.35,25.65,25.35,25.4,21.22,5000400
2024-12-27,25.6,25.7,25.5,25.55,21.35,7689900
2024-12-26,25.45,25.55,25.4,25.55,21.35,5579300
2024-12-25,25.0,25.6,24.95,25.45,21.26,9512300
2024-12-24,24.9,25.0,24.8,25.0,20.89,3230700
2024-12-23,24.85,24.95,24.8,24.9,20.8,3465200
2024-12-20,24.85,24.9,24.75,24.8,20.72,4724000
2024-12-19,25.05,25.05,24.7,24.8,20.72,9712000
2024-12-18,25.25,25.25,25.1,25.15,21.01,3381500
2024-12-17,25.25,25.25,25.05,25.2,21.05,3329200
2024-12-16,25.15,25.25,25.05,25.15,21.01,5161100
2024-12-13,25.3,25.3,25.1,25.15,21.01,6040200
2024-12-12,25.4,25.5,25.25,25.3,21.14,5863500
2024-12-11,25.35,25.5,25.2,25.4,21.22,8827300
2024-12-10,25.5,25.5,25.35,25.35,21.18,3399100
2024-12-09,25.6,25.65,25.35,25.5,21.31,5414200
2024-12-06,25.5,25.75,25.5,25.65,21.43,6049500
2024-12-05,25.0,25.7,24.95,25.7,21.47,8267100
2024-12-04,24.95,25.05,24.85,25.05,20.93,4616000
2024-12-03,25.2,25.2,24.95,25.0,20.89,6127300
2024-12-02,25.25,25.35,25.05,25.15,21.01,2487700
2024-11-29,25.15,25.2,25.0,25.2,21.05,3880000
2024-11-28,25.15,25.2,24.95,25.15,21.01,4592100
2024-11-27,24.95,25.2,24.95,25.05,20.93,2744700
2024-11-26,24.9,25.1,24.85,25.0,20.89,3558600
2024-11-25,24.95,25.0,24.8,24.9,20.8,4108700
2024-11-22,24.85,24.95,24.65,24.95,20.85,5693800
2024-11-21,24.5,24.85,24.25,24.85,20.76,7582000
2024-11-20,24.2,24.55,24.15,24.5,20.47,6237600
2024-11-19,24.5,24.55,24.3,24.3,20.3,5784700
2024-11-18,24.4,24.6,24.1,24.5,20.47,8106600
2024-11-15,24.55,24.6,24.3,24.4,20.39,9277500
2024-11-14,24.65,24.85,24.55,24.55,20.51,5795300
2024-11-13,24.8,24.9,24.6,24.9,20.8,6390100
2024-11-12,24.8,24.95,24.65,24.85,20.76,4142900
2024-11-11,24.9,25.0,24.65,24.85,20.76,6742100
2024-11-08,25.1,25.2,24.75,24.9,20.8,8221400
2024-11-07,25.2,25.3,24.9,25.1,20.97,4841200
2024-11-06,24.9,25.2,24.8,25.1,20.97,6242400
2024-11-05,24.8,24.9,24.75,24.75,20.68,3066100
2024-11-04,25.0,25.05,24.65,24.75,20.68,9116700
2024-11-01,25.3,25.4,24.9,24.9,20.8,7855400
2024-10-31,25.1,25.45,25.05,25.4,21.22,5074500
2024-10-30,25.2,25.25,24.95,25.1,20.97,3872400
2024-10-29,25.3,25.3,25.1,25.2,21.05,4176800
2024-10-28,24.9,25.15,24.75,25.15,21.01,4995600
2024-10-25,25.0,25.1,24.85,24.9,20.8,9220400
2024-10-24,25.4,25.45,25.0,25.0,20.89,8926700
2024-10-23,25.4,25.55,25.15,25.4,21.22,7700100
2024-10-22,25.8,25.85,25.4,25.4,21.22,12115300
2024-10-21,26.0,26.1,25.8,25.8,21.56,5532000
2024-10-18,26.25,26.5,25.95,26.1,21.81,11490300
2024-10-17,25.9,26.15,25.75,26.15,21.85,9195000
2024-10-16,25.75,25.85,25.6,25.75,21.51,5395600
2024-10-15,25.95,26.2,25.8,25.85,21.6,7109800
2024-10-14,26.15,26.25,25.95,25.95,21.68,9026900
2024-10-11,26.1,26.15,25.9,26.1,21.81,6560000
2024-10-10,26.4,26.5,26.05,26.2,21.89,9079400
2024-10-09,25.6,26.25,25.55,26.25,21.93,20003200
2024-10-08,25.5,25.65,25.35,25.5,21.31,6522700
2024-10-07,25.5,25.7,25.35,25.45,21.26,6769700
2024-10-04,25.7,25.75,25.4,25.4,21.22,8664100
2024-10-03,25.95,26.3,25.7,25.7,21.47,14798400
2024-10-02,25.7,26.1,25.6,25.8,21.56,10112400
2024-10-01,25.75,26.15,25.75,25.75,21.51,10408300
2024-09-30,25.7,25.95,25.7,25.75,21.51,8455300
2024-09-27,26.0,26.4,25.9,25.9,21.64,10807400
2024-09-26,26.3,26.35,26.0,26.0,21.72,18172200
2024-09-25,26.0,26.2,25.8,26.2,21.89,23014300
2024-09-24,25.65,25.8,25.4,25.8,21.56,12775500
2024-09-23,25.7,26.0,25.6,25.65,21.43,8574100
2024-09-20,24.9,25.8,24.9,25.65,21.43,34310900
2024-09-19,24.75,24.85,24.6,24.8,20.72,5219400
2024-09-18,24.5,24.75,24.35,24.65,20.6,8718500
2024-09-17,24.15,24.5,24.1,24.5,20.47,4078100
2024-09-16,24.4,24.55,24.15,24.15,20.18,3712400
2024-09-13,24.4,24.45,24.25,24.4,20.39,2370800
2024-09-12,24.25,24.5,24.2,24.45,20.43,2617700
2024-09-11,24.15,24.25,24.1,24.15,20.18,3584100
2024-09-10,24.45,24.55,24.1,24.25,20.26,6133500
2024-09-09,24.55,24.6,24.3,24.45,20.43,4686500
2024-09-06,24.5,24.6,24.45,24.6,20.55,5003500
2024-09-05,24.65,24.7,24.45,24.5,20.47,3534700
2024-09-04,24.5,24.7,24.45,24.65,20.6,5632900
2024-08-30,24.65,24.8,24.65,24.8,20.72,4483800
2024-08-29,24.55,24.9,24.55,24.65,20.6,8588000
2024-08-28,24.5,24.55,24.4,24.5,20.47,5222500
2024-08-27,24.45,24.5,24.4,24.45,20.43,4154700
2024-08-26,24.55,24.55,24.4,24.45,20.43,4921300
2024-08-23,24.4,24.5,24.25,24.45,20.43,3892900
2024-08-22,24.5,24.55,24.3,24.4,20.39,6789100
2024-08-21,24.05,24.4,24.05,24.4,20.39,6556900
