,ADF Statistic,p-value,Stationary
ACB,-35.82579110870773,0.0,True
BID,-14.960736514742973,1.2406858465852739e-27,True
CTG,-14.969600415736284,1.205660473067146e-27,True
EIB,-14.274369774437618,1.3571976316012592e-26,True
HDB,-33.975709904893186,0.0,True
LPB,-25.287039148831404,0.0,True
MBB,-35.20632680676504,0.0,True
STB,-35.55717594787464,0.0,True
TCB,-32.86755572119438,0.0,True
TPB,-35.99281778842041,0.0,True
VCB,-15.68265434201023,1.4662538867864823e-28,True
VIB,-33.271663606745875,0.0,True
VPB,-6.934592760460706,1.0626206124256476e-09,True
