date,open,high,low,close,adjusted_close,volume
2025-11-18,38.5,38.5,38.3,0.0,38.4,628700
2024-12-31,38.5,38.75,37.55,37.55,37.14,3416900
2024-12-30,39.1,39.15,38.25,38.25,37.83,4011800
2024-12-27,39.25,39.5,39.1,39.15,38.72,2859500
2024-12-26,38.95,39.35,38.8,39.0,38.57,3884200
2024-12-25,38.2,39.8,38.1,38.65,38.22,5277300
2024-12-24,38.7,38.85,38.05,38.1,37.68,3216000
2024-12-23,38.9,39.0,38.5,38.6,38.18,2895400
2024-12-20,46.5,46.7,46.35,46.45,37.96,2993400
2024-12-19,46.65,46.75,46.4,46.45,37.96,2706000
2024-12-18,46.85,47.0,46.7,46.85,38.29,1661100
2024-12-17,47.0,47.15,46.6,46.6,38.09,2248800
2024-12-16,47.0,47.25,46.7,46.75,38.21,3247200
2024-12-13,46.55,46.8,46.4,46.4,37.92,1382900
2024-12-12,46.7,47.15,46.6,46.6,38.09,1935300
2024-12-11,46.95,47.0,46.5,46.6,38.09,1286600
2024-12-10,46.8,47.35,46.75,46.75,38.21,1943300
2024-12-09,46.65,47.0,46.6,46.7,38.17,1717700
2024-12-06,46.4,46.95,46.4,46.6,38.09,2497200
2024-12-05,45.3,46.8,45.3,46.0,37.6,2427400
2024-12-04,46.1,46.15,45.15,45.15,36.9,2399100
2024-12-03,46.5,46.5,46.05,46.05,37.64,1400100
2024-12-02,46.9,47.1,46.5,46.5,38.0,1314100
2024-11-29,46.1,46.75,45.85,46.75,38.21,1443200
2024-11-28,46.5,46.55,46.1,46.1,37.68,1284700
2024-11-27,46.25,46.45,46.05,46.35,37.88,1214900
2024-11-26,45.5,46.25,45.5,46.25,37.8,1839300
2024-11-25,45.7,45.8,45.5,45.55,37.23,1110400
2024-11-22,45.8,45.8,45.25,45.7,37.35,1874700
2024-11-21,45.1,45.65,45.1,45.35,37.06,1472400
2024-11-20,44.7,45.85,44.5,45.0,36.78,2188800
2024-11-19,45.2,45.2,44.6,44.6,36.45,1457400
2024-11-18,44.65,45.6,44.45,44.45,36.33,1914300
2024-11-15,45.6,45.6,44.7,44.7,36.53,2255800
2024-11-14,46.25,46.25,45.5,45.5,37.19,1998500
2024-11-13,46.3,46.5,45.85,46.15,37.72,1816400
2024-11-12,46.5,46.85,46.3,46.3,37.84,1686200
2024-11-11,47.4,47.5,46.4,46.5,38.0,2600300
2024-11-08,47.7,47.9,47.0,47.4,38.74,2648700
2024-11-07,48.4,48.4,47.6,47.6,38.9,1263600
2024-11-06,47.6,48.15,47.6,48.05,39.27,1082600
2024-11-05,47.7,47.9,47.35,47.4,38.74,1526000
2024-11-04,47.75,48.2,47.55,47.7,38.99,1337100
2024-11-01,48.0,48.1,47.55,47.75,39.03,1543200
2024-10-31,48.0,48.45,47.65,47.75,39.03,1792200
2024-10-30,47.65,48.2,47.65,47.7,38.99,1415800
2024-10-29,47.7,48.45,47.5,47.55,38.86,2176400
2024-10-28,47.5,47.75,47.3,47.5,38.82,1726200
2024-10-25,48.05,48.3,47.5,47.5,38.82,1696500
2024-10-24,48.1,48.85,48.0,48.0,39.23,1465200
2024-10-23,48.75,48.75,48.0,48.4,39.56,2397200
2024-10-22,49.7,49.7,48.7,48.75,39.84,3371900
2024-10-21,50.0,50.2,49.65,49.65,40.58,2125200
2024-10-18,50.7,51.0,50.3,50.3,41.11,3395100
2024-10-17,50.2,50.3,49.55,50.3,41.11,2118900
2024-10-16,50.0,50.5,49.8,49.85,40.74,1791000
2024-10-15,49.5,51.0,49.5,50.0,40.87,6928400
2024-10-14,49.5,49.75,49.4,49.4,40.38,1161900
2024-10-11,49.85,49.85,49.3,49.4,40.38,1539800
2024-10-10,49.95,49.95,49.4,49.75,40.66,2650400
2024-10-09,49.2,49.6,48.8,49.45,40.42,2190900
2024-10-08,49.05,49.35,48.8,48.9,39.97,1900100
2024-10-07,49.5,49.5,49.0,49.05,40.09,1492500
2024-10-04,49.5,49.6,49.15,49.2,40.21,2164800
2024-10-03,49.8,50.8,49.5,49.5,40.46,3503800
2024-10-02,49.7,50.2,49.6,49.8,40.7,1835200
2024-10-01,49.7,50.7,49.7,49.7,40.62,2817700
2024-09-30,50.1,50.2,49.6,49.7,40.62,2190600
2024-09-27,50.3,51.7,50.0,50.1,40.95,3204000
2024-09-26,50.3,50.8,49.85,50.0,40.87,4232600
2024-09-25,49.7,50.4,49.35,50.0,40.87,5257900
2024-09-24,48.95,49.25,48.5,49.25,40.25,1414200
2024-09-23,49.05,49.4,48.7,48.7,39.8,1217700
2024-09-20,49.5,49.9,49.05,49.05,40.09,2652200
2024-09-19,49.2,49.4,48.8,49.25,40.25,1356100
2024-09-18,48.8,49.45,48.5,49.05,40.09,1836300
2024-09-17,47.8,48.7,47.5,48.7,39.8,1363300
2024-09-16,48.2,48.6,47.75,47.75,39.03,1570700
2024-09-13,48.2,48.55,48.2,48.2,39.39,747400
2024-09-12,48.5,48.7,48.35,48.35,39.52,1105200
2024-09-11,48.45,48.65,48.0,48.3,39.48,1405800
2024-09-10,49.3,49.3,48.45,48.5,39.64,2399900
2024-09-09,49.2,49.55,48.9,49.05,40.09,1202400
2024-09-06,48.7,49.5,48.65,49.3,40.29,2361500
2024-09-05,48.75,49.5,48.6,48.7,39.8,1899400
2024-09-04,48.5,49.45,48.15,48.95,40.01,1971000
2024-08-30,49.55,49.7,48.9,48.9,39.97,1798000
2024-08-29,49.3,50.6,49.3,49.3,40.29,1686100
2024-08-28,49.6,50.3,49.5,49.6,40.54,1206100
2024-08-27,50.3,50.3,49.1,49.6,40.54,4159800
2024-08-26,50.8,50.9,50.1,50.2,41.03,2246500
2024-08-23,50.2,50.8,50.1,50.5,41.27,2273200
2024-08-22,51.0,51.3,49.9,50.3,41.11,2738000
2024-08-21,49.45,50.8,49.05,50.6,41.36,6170900
