date,open,high,low,close,adjusted_close,volume
2025-11-18,48.9,49.55,48.85,0.0,49.05,2293000
2024-12-31,38.6,38.7,37.8,37.8,37.5,5449700
2024-12-30,38.5,38.9,38.35,38.9,38.59,7210600
2024-12-27,38.35,38.8,38.0,38.8,38.49,9539300
2024-12-26,38.4,38.4,38.0,38.2,37.89,4847100
2024-12-25,36.2,38.7,36.2,38.2,37.89,25190700
2024-12-24,36.1,36.2,35.9,36.2,35.91,2831100
2024-12-23,36.2,36.3,36.1,36.25,35.96,3097200
2024-12-20,36.0,36.15,35.7,36.15,35.86,3418200
2024-12-19,35.85,36.2,35.6,36.2,35.91,6319500
2024-12-18,36.2,36.4,35.8,36.25,35.96,2933300
2024-12-17,36.25,36.35,36.05,36.25,35.96,3429900
2024-12-16,36.35,36.7,36.2,36.25,35.96,2866500
2024-12-13,36.15,36.5,36.1,36.35,36.06,4180300
2024-12-12,36.4,36.8,36.2,36.3,36.01,5010500
2024-12-11,36.3,36.6,36.2,36.35,36.06,4390000
2024-12-10,36.45,36.5,36.1,36.35,36.06,3293400
2024-12-09,36.15,36.5,36.05,36.45,36.16,4392500
2024-12-06,36.5,36.65,36.25,36.25,35.96,5625800
2024-12-05,35.3,36.5,35.05,36.4,36.11,10395100
2024-12-04,35.6,35.7,35.3,35.3,35.02,4137800
2024-12-03,35.95,35.95,35.45,35.9,35.61,5261300
2024-12-02,35.9,36.0,35.7,35.85,35.56,4468300
2024-11-29,35.5,35.85,35.25,35.75,35.46,5142400
2024-11-28,35.3,35.4,34.95,35.4,35.12,3289800
2024-11-27,35.1,35.3,34.95,35.15,34.87,2761100
2024-11-26,35.0,35.35,34.9,35.3,35.02,4538800
2024-11-25,34.95,35.1,34.7,35.1,34.82,3824500
2024-11-22,34.9,35.2,34.7,35.0,34.72,6181600
2024-11-21,34.0,35.0,33.6,35.0,34.72,7810800
2024-11-20,33.05,34.0,33.05,34.0,33.73,6494000
2024-11-19,33.5,33.6,33.0,33.35,33.08,5280700
2024-11-18,33.1,33.65,32.7,33.3,33.03,4072900
2024-11-15,33.6,33.6,32.8,33.1,32.84,8350400
2024-11-14,34.3,34.3,33.6,33.6,33.33,5270200
2024-11-13,34.45,34.5,33.95,34.35,34.08,4244200
2024-11-12,34.8,34.85,34.2,34.5,34.22,3342200
2024-11-11,35.0,35.0,33.85,34.95,34.67,16325500
2024-11-08,35.7,36.0,34.8,35.0,34.72,4916300
2024-11-07,35.9,36.15,35.6,35.6,35.32,3822400
2024-11-06,35.2,35.9,35.1,35.9,35.61,3543500
2024-11-05,35.5,35.7,35.05,35.05,34.77,4093100
2024-11-04,35.55,35.95,35.35,35.7,35.41,5247600
2024-11-01,35.55,35.95,35.5,35.6,35.32,7983200
2024-10-31,34.9,35.75,34.8,35.7,35.41,8400500
2024-10-30,34.9,35.0,34.5,34.75,34.47,2626400
2024-10-29,34.7,34.95,34.7,34.95,34.67,2890000
2024-10-28,34.65,34.8,34.55,34.7,34.42,2288100
2024-10-25,34.75,34.8,34.5,34.6,34.32,4448300
2024-10-24,35.0,35.15,34.05,34.85,34.57,6405900
2024-10-23,35.0,35.15,34.75,35.05,34.77,4488500
2024-10-22,35.5,35.65,34.8,35.0,34.72,9519000
2024-10-21,36.1,36.35,35.5,35.5,35.22,8242100
2024-10-18,36.8,36.9,36.25,36.25,35.96,7054400
2024-10-17,36.5,36.55,36.05,36.55,36.26,6200700
2024-10-16,36.1,36.45,35.9,36.3,36.01,3778300
2024-10-15,36.25,36.8,36.1,36.15,35.86,10587200
2024-10-14,36.4,36.45,36.05,36.05,35.76,4041500
2024-10-11,36.25,36.3,35.8,36.25,35.96,4217800
2024-10-10,36.45,36.65,36.05,36.15,35.86,6226000
2024-10-09,35.8,36.6,35.7,36.1,35.81,9143500
2024-10-08,35.8,36.15,35.55,35.75,35.46,6638700
2024-10-07,35.9,35.95,35.5,35.8,35.51,5298700
2024-10-04,36.15,36.15,35.6,35.6,35.32,8545600
2024-10-03,36.0,36.75,35.9,36.2,35.91,9111600
2024-10-02,36.15,36.45,35.95,36.0,35.71,11271900
2024-10-01,36.95,37.1,36.35,36.5,36.21,12315100
2024-09-30,36.9,37.2,36.65,36.95,36.65,4842500
2024-09-27,36.45,37.55,36.45,37.0,36.7,15617800
2024-09-26,36.0,36.45,35.45,36.4,36.11,22830200
2024-09-25,36.5,36.6,36.0,36.0,35.71,9797800
2024-09-24,35.9,36.2,35.65,36.05,35.76,5546400
2024-09-23,35.95,36.3,35.65,35.9,35.61,4440300
2024-09-20,36.05,36.65,35.95,36.0,35.71,13164300
2024-09-19,35.75,36.2,35.6,36.0,35.71,5835500
2024-09-18,34.95,36.3,34.8,35.7,35.41,17487600
2024-09-17,34.55,34.95,34.35,34.95,34.67,5230100
2024-09-16,34.95,34.95,34.5,34.65,34.37,5810800
2024-09-13,34.8,35.0,34.65,34.9,34.62,3439800
2024-09-12,35.25,35.25,34.7,35.0,34.72,4999600
2024-09-11,34.95,35.1,34.45,34.95,34.67,5494300
2024-09-10,35.4,35.55,34.8,34.95,34.67,7474100
2024-09-09,35.2,35.45,35.0,35.45,35.17,5375600
2024-09-06,34.8,35.5,34.6,35.5,35.22,9157300
2024-09-05,35.2,35.5,34.6,35.0,34.72,8504400
2024-09-04,34.6,35.3,34.45,35.3,35.02,10446800
2024-08-30,35.0,35.1,34.65,35.05,34.77,8124100
2024-08-29,34.95,35.35,34.5,35.0,34.72,12531200
2024-08-28,34.9,34.95,34.5,34.9,34.62,5938900
2024-08-27,34.6,35.0,34.25,34.85,34.57,11698100
2024-08-26,35.0,35.0,34.4,34.6,34.32,9584400
2024-08-23,34.4,34.95,34.15,34.95,34.67,9860800
2024-08-22,34.35,35.0,34.3,34.6,34.32,11485500
2024-08-21,33.25,34.2,33.0,34.2,33.93,27480100
2024-08-20,32.65,33.35,32.6,33.2,32.93,10766100
2024-08-19,32.5,32.7,32.35,32.65,32.39,5863100
2024-08-16,31.85,32.5,31.8,32.5,32.24,7856100
2024-08-15,31.8,31.95,31.45,31.85,31.6,4421800
2024-08-14,31.85,32.0,31.6,31.8,31.55,4668000
2024-08-13,31.85,31.85,31.35,31.85,31.6,3764400
2024-08-12,31.55,31.75,31.2,31.7,31.45,3052300
2024-08-09,30.35,31.5,30.35,31.5,31.25,7179900
2024-08-08,30.2,30.45,30.05,30.2,29.96,5155000
2024-08-07,30.65,30.65,30.05,30.2,29.96,3892500
2024-08-06,30.5,30.6,29.95,30.55,30.31,4871100
2024-08-05,30.9,30.95,30.0,30.15,29.91,10630500
2024-08-02,31.05,31.55,30.25,31.55,31.3,10408500
2024-08-01,32.0,32.45,31.3,31.45,31.2,8811100
2024-07-31,32.0,32.3,31.8,32.0,31.74,6542400
2024-07-30,32.0,32.1,31.8,32.0,31.74,4284300
2024-07-29,32.15,32.35,32.1,32.1,31.84,3120200
2024-07-26,31.55,32.15,31.55,32.05,31.79,3281100
2024-07-25,32.0,32.0,31.4,31.55,31.3,6106000
2024-07-24,32.35,32.5,31.7,32.2,31.94,10316300
2024-07-23,33.7,33.7,32.05,32.4,32.14,9825700
2024-07-22,33.2,34.1,33.15,33.65,33.38,15868100
2024-07-19,33.25,33.8,32.75,33.4,33.13,10147600
2024-07-18,33.3,33.45,32.75,33.45,33.18,8111000
2024-07-17,32.7,33.8,32.55,33.0,32.74,22598600
2024-07-16,32.15,32.85,32.1,32.5,32.24,6589100
2024-07-15,32.05,32.2,32.0,32.1,31.84,2451000
2024-07-12,32.2,32.3,31.9,32.0,31.74,3874000
2024-07-11,32.5,32.6,32.2,32.2,31.94,3867400
2024-07-10,32.7,32.85,32.4,32.4,32.14,5205400
2024-07-09,32.6,32.8,32.4,32.7,32.44,4731800
2024-07-08,32.75,32.75,32.3,32.6,32.34,3851700
2024-07-05,32.35,32.85,32.1,32.7,32.44,5590000
2024-07-04,32.4,32.5,32.05,32.3,32.04,2526600
2024-07-03,32.35,32.5,32.05,32.35,32.09,3316100
2024-07-02,32.0,32.35,31.9,32.3,32.04,5122200
2024-07-01,30.85,32.0,30.85,32.0,31.74,3924600
2024-06-28,31.3,31.45,31.0,31.0,30.75,4521600
