date,open,high,low,close,adjusted_close,volume
2025-11-18,22.25,22.6,22.15,0.0,22.4,5968300
2024-12-31,19.3,19.3,18.9,19.3,19.3,4828000
2024-12-30,19.5,19.7,19.15,19.3,19.3,3831900
2024-12-27,19.25,19.7,19.25,19.45,19.45,5564300
2024-12-26,19.55,19.55,19.2,19.25,19.25,3419400
2024-12-25,19.6,19.8,19.35,19.5,19.5,4804900
2024-12-24,19.5,19.75,19.45,19.6,19.6,10562400
2024-12-23,19.1,19.65,19.1,19.5,19.5,5135800
2024-12-20,19.2,19.2,18.95,19.0,19.0,3858200
2024-12-19,19.3,19.35,19.1,19.15,19.15,5742000
2024-12-18,19.55,19.65,19.5,19.55,19.55,1497200
2024-12-17,19.3,19.6,19.3,19.55,19.55,1942200
2024-12-16,19.8,19.8,19.25,19.4,19.4,2804300
2024-12-13,20.0,20.0,19.7,19.7,19.7,4244100
2024-12-12,19.3,20.1,19.25,19.75,19.75,8513700
2024-12-11,19.0,19.35,19.0,19.25,19.25,6350400
2024-12-10,19.0,19.2,19.0,19.0,19.0,4868100
2024-12-09,18.65,19.0,18.6,18.95,18.95,3718100
2024-12-06,18.7,18.7,18.55,18.6,18.6,2818200
2024-12-05,18.3,18.7,18.0,18.7,18.7,4160700
2024-12-04,18.4,18.45,18.35,18.4,18.4,2143300
2024-12-03,18.5,18.5,18.35,18.5,18.5,1480400
2024-12-02,18.5,18.6,18.35,18.5,18.5,2661100
2024-11-29,18.8,18.8,18.5,18.5,18.5,2884800
2024-11-28,18.75,19.2,18.45,18.8,18.8,5309400
2024-11-27,18.3,18.75,18.2,18.7,18.7,3126900
2024-11-26,18.25,18.35,18.15,18.3,18.3,3037000
2024-11-25,18.0,18.35,17.85,18.25,18.25,2358200
2024-11-22,18.05,18.05,17.85,18.0,18.0,2671300
2024-11-21,17.8,18.05,17.8,18.05,18.05,1509200
2024-11-20,17.85,18.1,17.6,18.1,18.1,2234000
2024-11-19,18.0,18.0,17.6,17.9,17.9,2644100
2024-11-18,17.95,18.15,17.45,18.05,18.05,5143500
2024-11-15,18.4,18.5,18.0,18.0,18.0,4901200
2024-11-14,18.65,18.65,18.25,18.55,18.55,2130200
2024-11-13,18.5,18.7,18.15,18.65,18.65,4353400
2024-11-12,18.55,18.95,18.5,18.55,18.55,3299900
