date,open,high,low,close,adjusted_close,volume
2025-11-18,30.15,30.5,30.0,0.0,30.15,5131900
2024-12-31,26.35,26.35,25.25,25.5,25.5,9184500
2024-12-30,24.95,26.65,24.4,26.65,26.65,10589200
2024-12-27,24.15,24.95,24.1,24.95,24.95,12436100
2024-12-26,23.9,24.15,23.7,24.15,24.15,7888400
2024-12-25,23.45,23.95,23.4,23.9,23.9,10201000
2024-12-24,23.4,23.4,23.05,23.4,23.4,5349600
2024-12-23,23.5,23.5,23.25,23.4,23.4,4864700
2024-12-20,23.5,23.6,23.15,23.4,23.4,7031200
2024-12-19,23.6,23.6,23.2,23.5,23.5,10108500
2024-12-18,23.8,24.0,23.65,23.8,23.8,8357500
2024-12-17,23.85,23.9,23.65,23.8,23.8,8721000
2024-12-16,23.65,23.75,23.5,23.75,23.75,7804900
2024-12-13,23.95,24.0,23.35,23.7,23.7,8994700
2024-12-12,23.65,23.95,23.65,23.9,23.9,12025700
2024-12-11,23.6,23.7,23.3,23.6,23.6,14899100
2024-12-10,27.0,28.0,26.95,28.0,23.33,19907400
2024-12-09,26.9,27.1,26.7,27.0,22.5,9301700
2024-12-06,26.75,26.9,26.55,26.85,22.37,7606400
2024-12-05,25.95,26.7,25.9,26.7,22.25,9434400
2024-12-04,26.05,26.15,25.8,25.9,21.58,6699700
2024-12-03,25.9,26.15,25.6,26.05,21.71,11353100
2024-12-02,25.4,25.5,25.25,25.4,21.17,5374800
2024-11-29,25.35,25.5,25.15,25.35,21.12,5931800
2024-11-28,25.2,25.55,24.95,25.3,21.08,7320300
2024-11-27,25.05,25.35,25.0,25.15,20.96,7045500
2024-11-26,24.7,25.2,24.65,25.05,20.87,6538600
2024-11-25,24.7,24.8,24.65,24.7,20.58,7384100
2024-11-22,24.8,24.9,24.65,24.7,20.58,7859300
2024-11-21,24.65,24.8,24.4,24.8,20.67,8075200
2024-11-20,24.6,24.85,24.3,24.65,20.54,9631000
2024-11-19,24.6,24.85,24.45,24.65,20.54,8273100
2024-11-18,24.65,24.9,24.25,24.55,20.46,10096600
2024-11-15,25.25,25.25,24.6,24.7,20.58,9616400
2024-11-14,25.65,25.65,25.2,25.25,21.04,7753800
2024-11-13,25.7,25.95,25.5,25.65,21.37,7335200
2024-11-12,25.3,25.9,25.3,25.8,21.5,6514900
2024-11-11,26.25,26.25,25.35,25.55,21.29,8246300
2024-11-08,26.25,26.25,25.9,26.25,21.87,7433500
2024-11-07,26.45,26.5,26.2,26.25,21.87,6379400
2024-11-06,26.05,26.4,26.05,26.4,22.0,6167600
2024-11-05,26.0,26.25,25.9,26.05,21.71,5509200
2024-11-04,26.6,26.6,26.05,26.05,21.71,7428000
2024-11-01,26.9,26.95,26.55,26.55,22.12,8688200
