date,open,high,low,close,adjusted_close,volume
2025-11-18,50.4,50.5,49.5,0.0,49.5,639200
2024-12-31,31.55,31.65,31.2,31.25,31.25,2470600
2024-12-30,31.3,31.8,31.05,31.55,31.55,3349400
2024-12-27,29.3,31.0,29.2,31.0,31.0,9363500
2024-12-26,34.4,34.45,33.9,33.9,29.03,2059900
2024-12-25,33.6,34.6,33.55,34.25,29.32,4652700
2024-12-24,33.55,33.6,33.1,33.55,28.73,1254400
2024-12-23,33.6,33.65,33.25,33.5,28.68,1034700
2024-12-20,33.4,33.55,33.05,33.4,28.6,971400
2024-12-19,33.7,33.75,33.05,33.4,28.6,1533700
2024-12-18,33.3,33.8,33.3,33.7,28.85,2076900
2024-12-17,33.25,33.3,32.95,33.25,28.47,1036300
2024-12-16,33.35,33.55,33.05,33.15,28.38,884000
2024-12-13,33.2,33.45,32.9,33.15,28.38,1281200
2024-12-12,33.65,33.75,33.1,33.1,28.34,2414300
2024-12-11,34.1,34.4,33.55,33.6,28.77,1869200
2024-12-10,34.2,34.4,34.05,34.05,29.15,1092300
2024-12-09,34.5,34.6,34.05,34.15,29.24,1615200
2024-12-06,34.0,34.6,33.7,34.25,29.32,2742500
2024-12-05,33.55,34.05,33.45,33.7,28.85,2377800
2024-12-04,34.0,34.45,33.3,33.45,28.64,3124300
2024-12-03,33.35,34.2,33.35,33.95,29.07,4697500
2024-12-02,32.35,33.6,32.35,33.25,28.47,6919600
2024-11-29,32.05,32.5,32.05,32.25,27.61,895400
2024-11-28,32.5,32.75,32.0,32.0,27.4,1803500
2024-11-27,31.95,32.5,31.9,32.3,27.66,1136800
2024-11-26,31.9,31.95,31.75,31.9,27.31,792400
2024-11-25,31.9,31.9,31.75,31.85,27.27,313300
2024-11-22,31.75,31.9,31.65,31.85,27.27,767600
2024-11-21,31.6,31.7,31.45,31.7,27.14,620300
2024-11-20,31.4,31.6,31.1,31.55,27.01,1128800
2024-11-19,31.45,31.6,31.2,31.3,26.8,595300
2024-11-18,31.5,31.9,31.15,31.45,26.93,1491400
2024-11-15,31.4,31.55,30.95,31.45,26.93,1814200
2024-11-14,31.95,32.0,31.35,31.4,26.88,957600
2024-11-13,31.75,31.9,31.4,31.8,27.23,1166000
2024-11-12,32.0,32.25,31.55,31.7,27.14,1121400
2024-11-11,32.2,32.25,31.7,31.75,27.18,1546600
2024-11-08,32.65,32.65,32.1,32.2,27.57,1474500
2024-11-07,32.55,32.8,32.5,32.6,27.91,884400
2024-11-06,32.8,32.8,32.35,32.55,27.87,492100
2024-11-05,32.45,32.85,32.4,32.4,27.74,1232900
2024-11-04,32.8,33.0,32.3,32.35,27.7,1169100
2024-11-01,32.95,33.0,32.7,32.8,28.08,1565300
2024-10-31,32.6,32.95,32.5,32.95,28.21,1350900
2024-10-30,32.4,32.75,32.35,32.55,27.87,1329200
2024-10-29,32.25,32.35,32.2,32.3,27.66,785900
2024-10-28,32.3,32.4,32.0,32.2,27.57,922700
2024-10-25,31.9,32.15,31.7,32.1,27.48,1119700
2024-10-24,32.05,32.3,31.8,31.8,27.23,1328800
2024-10-23,31.85,32.0,31.6,31.85,27.27,1583600
2024-10-22,32.2,32.25,31.3,31.7,27.14,4138700
2024-10-21,32.4,32.5,32.1,32.2,27.57,1460600
2024-10-18,32.35,32.75,32.1,32.35,27.7,1689300
2024-10-17,31.8,32.1,31.7,32.1,27.48,1396800
2024-10-16,32.05,32.25,31.75,31.75,27.18,2761000
2024-10-15,32.55,32.75,32.2,32.2,27.57,1866600
2024-10-14,32.95,33.05,32.35,32.45,27.78,3360900
2024-10-11,33.3,33.5,32.8,32.85,28.13,2062500
2024-10-10,33.8,34.25,33.2,33.3,28.51,4578700
2024-10-09,33.5,33.7,33.35,33.6,28.77,1803200
2024-10-08,31.8,33.8,31.8,33.3,28.51,15963300
2024-10-07,31.85,32.0,31.65,31.75,27.18,1343600
2024-10-04,31.3,31.5,31.05,31.5,26.97,2570800
2024-10-03,31.45,31.95,31.25,31.35,26.84,2302700
2024-10-02,31.7,31.8,31.45,31.45,26.93,1390800
2024-10-01,31.95,32.0,31.55,31.7,27.14,3925300
2024-09-30,32.25,32.35,31.75,31.95,27.36,2209100
2024-09-27,32.1,32.55,31.8,32.2,27.57,3670700
2024-09-26,32.0,32.3,31.75,32.1,27.48,4217000
2024-09-25,32.1,32.1,31.65,31.8,27.23,4189000
2024-09-24,31.4,31.7,31.2,31.7,27.14,1877000
2024-09-23,31.25,31.7,31.15,31.4,26.88,2526600
2024-09-20,31.0,31.45,30.9,31.2,26.71,4279500
2024-09-19,30.6,30.85,30.45,30.7,26.29,943700
2024-09-18,30.9,30.9,30.45,30.6,26.2,1686600
2024-09-17,30.2,30.7,30.2,30.7,26.29,1003300
2024-09-16,30.45,30.8,30.2,30.2,25.86,1228900
2024-09-13,30.7,30.9,30.45,30.45,26.07,674100
2024-09-12,31.0,31.05,30.7,30.7,26.29,813700
2024-09-11,30.95,31.0,30.6,30.8,26.37,898200
2024-09-10,30.9,31.2,30.7,30.95,26.5,1280200
2024-09-09,31.15,31.15,30.8,30.8,26.37,701800
2024-09-06,30.75,31.2,30.75,31.05,26.58,1334100
2024-09-05,30.95,31.2,30.35,30.8,26.37,2612800
2024-09-04,31.1,31.4,30.85,30.85,26.41,2077200
2024-08-30,31.65,31.75,31.15,31.4,26.88,2132400
2024-08-29,31.6,32.25,31.5,31.5,26.97,4971000
2024-08-28,31.3,31.65,31.15,31.4,26.88,2364600
2024-08-27,31.3,31.7,31.2,31.3,26.8,1081100
2024-08-26,31.4,31.7,31.25,31.5,26.97,1280100
2024-08-23,31.8,32.3,31.4,31.5,26.97,2255500
2024-08-22,31.4,31.75,31.1,31.7,27.14,2156800
2024-08-21,31.35,31.6,30.85,31.55,27.01,3061600
2024-08-20,31.6,31.75,31.2,31.2,26.71,3477700
2024-08-19,30.95,31.8,30.95,31.5,26.97,3900700
2024-08-16,29.55,30.85,29.55,30.85,26.41,3145300
2024-08-15,28.9,29.4,28.7,29.4,25.17,4393200
2024-08-14,29.0,29.2,28.6,28.8,24.66,2101800
