date,open,high,low,close,adjusted_close,volume
2025-11-18,23.8,23.95,23.7,0.0,23.8,10832900
2024-12-31,24.8,25.1,24.8,25.1,16.38,11241300
2024-12-30,25.15,25.15,24.8,24.8,16.19,11064900
2024-12-27,25.05,25.3,25.0,25.05,16.35,16701900
2024-12-26,24.5,24.9,24.45,24.9,16.25,19904600
2024-12-25,23.95,24.8,23.95,24.45,15.96,14819900
2024-12-24,24.05,24.05,23.85,23.9,15.6,3479800
2024-12-23,24.0,24.15,24.0,24.05,15.7,3290600
2024-12-20,23.85,24.0,23.8,24.0,15.67,4123400
2024-12-19,23.8,24.05,23.8,23.85,15.57,10456300
2024-12-18,24.15,24.2,24.05,24.2,15.8,3778700
2024-12-17,24.05,24.2,24.05,24.15,15.76,3867900
2024-12-16,24.25,24.35,24.0,24.1,15.73,5691600
2024-12-13,24.25,24.35,24.2,24.25,15.83,4396300
2024-12-12,24.4,24.55,24.3,24.3,15.86,5748500
2024-12-11,24.25,24.4,24.1,24.3,15.86,5623000
2024-12-10,24.4,24.5,24.25,24.25,15.83,5009700
2024-12-09,24.4,24.55,24.25,24.4,15.93,5848600
2024-12-06,24.6,24.6,24.35,24.35,15.89,6119000
2024-12-05,23.85,24.6,23.8,24.55,16.02,10559800
2024-12-04,23.9,24.0,23.8,23.85,15.57,6135700
2024-12-03,24.15,24.2,23.95,23.95,15.63,6576600
2024-12-02,24.2,24.3,24.05,24.15,15.76,4110300
2024-11-29,24.05,24.15,23.95,24.15,15.76,4338100
2024-11-28,24.2,24.25,24.0,24.0,15.67,6587200
2024-11-27,24.0,24.25,23.9,24.1,15.73,4073600
2024-11-26,24.05,24.2,24.0,24.1,15.73,4436300
2024-11-25,24.0,24.05,23.9,23.95,15.63,4808800
2024-11-22,23.95,24.2,23.9,24.0,15.67,7345500
2024-11-21,23.6,24.0,23.4,24.0,15.67,6580200
2024-11-20,23.15,23.7,23.15,23.55,15.37,9713500
2024-11-19,23.5,23.6,23.15,23.15,15.11,7581900
2024-11-18,23.5,23.65,23.1,23.4,15.27,15027600
2024-11-15,23.7,23.8,23.5,23.5,15.34,11785200
2024-11-14,24.1,24.1,23.8,23.8,15.53,8429800
2024-11-13,24.1,24.25,23.85,24.15,15.76,10658900
2024-11-12,24.3,24.35,24.1,24.1,15.73,8810800
2024-11-11,24.55,24.6,23.95,24.3,15.86,17138000
2024-11-08,24.85,24.9,24.4,24.55,16.02,7681300
2024-11-07,25.0,25.0,24.8,24.8,16.19,4721700
2024-11-06,24.65,24.9,24.5,24.85,16.22,6561400
2024-11-05,24.55,24.6,24.4,24.45,15.96,6496400
2024-11-04,24.7,24.75,24.4,24.45,15.96,11901500
2024-11-01,24.95,25.05,24.6,24.6,16.06,9317300
2024-10-31,25.0,25.2,24.8,25.05,16.35,6662200
2024-10-30,25.0,25.15,24.7,25.0,16.32,6320000
2024-10-29,24.9,25.1,24.85,25.0,16.32,5342200
2024-10-28,24.75,24.85,24.65,24.8,16.19,3872900
2024-10-25,24.8,24.8,24.55,24.65,16.09,10606300
2024-10-24,25.25,25.4,24.7,24.7,16.12,16246700
2024-10-23,25.25,25.35,25.15,25.25,16.48,11634500
2024-10-22,25.5,25.65,25.15,25.25,16.48,20327200
2024-10-21,25.75,25.9,25.55,25.55,16.68,9410500
2024-10-18,26.0,26.2,25.7,25.75,16.81,18478000
2024-10-17,25.55,25.9,25.35,25.9,16.91,11681000
2024-10-16,25.65,25.65,25.4,25.5,16.64,10829400
2024-10-15,25.95,26.1,25.65,25.65,16.74,15413400
2024-10-14,25.65,26.1,25.5,25.85,16.87,15572800
2024-10-11,25.5,25.6,25.35,25.55,16.68,6485000
2024-10-10,25.7,25.95,25.5,25.5,16.64,12327300
2024-10-09,25.3,25.65,25.25,25.6,16.71,14336900
2024-10-08,25.2,25.5,25.1,25.2,16.45,11968400
2024-10-07,25.3,25.4,25.0,25.2,16.45,10186200
2024-10-04,25.5,25.5,25.1,25.1,16.38,18601300
2024-10-03,25.65,26.1,25.4,25.5,16.64,20995600
2024-10-02,25.55,25.85,25.5,25.7,16.77,12817100
2024-10-01,25.75,26.15,25.65,25.65,16.74,18768300
2024-09-30,25.45,25.8,25.45,25.7,16.77,14401600
2024-09-27,25.7,26.15,25.6,25.7,16.77,18136400
2024-09-26,25.75,25.95,25.5,25.7,16.77,26475400
2024-09-25,25.4,25.9,25.35,25.75,16.81,32046100
2024-09-24,24.9,25.3,24.8,25.25,16.48,17579900
2024-09-23,24.8,25.4,24.8,24.8,16.19,18841400
2024-09-20,24.55,25.0,24.55,24.75,16.15,26323600
2024-09-19,24.45,24.55,24.35,24.4,15.93,6720200
2024-09-18,24.3,24.6,24.15,24.4,15.93,13554500
2024-09-17,24.0,24.25,23.8,24.25,15.83,8279900
2024-09-16,23.9,24.25,23.85,23.9,15.6,8418300
2024-09-13,24.05,24.05,23.85,23.9,15.6,4397400
2024-09-12,24.0,24.15,23.95,24.0,15.67,5629000
2024-09-11,23.75,24.05,23.5,23.9,15.6,9689000
2024-09-10,24.05,24.2,23.65,23.75,15.5,12381300
2024-09-09,23.9,23.95,23.75,23.95,15.63,7767200
2024-09-06,23.9,24.05,23.75,24.0,15.67,14681100
2024-09-05,24.4,24.7,23.9,23.95,15.63,16458100
2024-09-04,24.45,24.6,24.35,24.4,15.93,15149200
2024-08-30,24.85,25.0,24.8,24.85,16.22,8869300
2024-08-29,24.65,25.2,24.65,24.85,16.22,22617900
2024-08-28,24.45,24.7,24.35,24.65,16.09,12094000
2024-08-27,24.35,24.5,24.3,24.4,15.93,10098000
2024-08-26,24.7,24.8,24.3,24.45,15.96,10218000
