date,open,high,low,close,adjusted_close,volume
2025-11-18,12.4,12.4,12.3,0.0,12.3,2889700
2024-12-31,11.7,11.7,11.55,11.65,11.65,3878400
2024-12-30,11.75,11.75,11.55,11.7,11.7,3579100
2024-12-27,11.55,11.9,11.55,11.7,11.7,11468400
2024-12-26,11.5,11.6,11.45,11.55,11.55,3702800
2024-12-25,11.3,11.7,11.3,11.5,11.5,10305100
2024-12-24,11.35,11.35,11.25,11.35,11.35,3571700
2024-12-23,11.35,11.4,11.3,11.35,11.35,2692800
2024-12-20,11.3,11.35,11.25,11.3,11.3,2271100
2024-12-19,11.4,11.45,11.25,11.3,11.3,8925300
2024-12-18,11.5,11.5,11.4,11.5,11.5,4529200
2024-12-17,11.55,11.6,11.45,11.45,11.45,3399900
2024-12-16,11.55,11.65,11.45,11.55,11.55,3094700
2024-12-13,11.55,11.6,11.45,11.55,11.55,5467700
2024-12-12,11.55,11.7,11.55,11.55,11.55,4539400
2024-12-11,11.5,11.6,11.45,11.55,11.55,6526900
2024-12-10,11.6,11.7,11.45,11.5,11.5,4796200
2024-12-09,11.55,11.65,11.5,11.6,11.6,6293300
2024-12-06,11.6,11.65,11.5,11.55,11.55,5771100
2024-12-05,11.3,11.65,11.2,11.6,11.6,8270600
2024-12-04,11.4,11.4,11.25,11.25,11.25,5761100
2024-12-03,11.5,11.5,11.4,11.4,11.4,3450700
2024-12-02,11.55,11.6,11.4,11.5,11.5,4031000
2024-11-29,11.4,11.5,11.35,11.5,11.5,4948500
2024-11-28,11.4,11.55,11.35,11.4,11.4,4404000
2024-11-27,11.4,11.45,11.35,11.35,11.35,4028400
2024-11-26,11.4,11.55,11.4,11.4,11.4,6410200
2024-11-25,11.45,11.45,11.3,11.4,11.4,4338900
2024-11-22,11.5,11.55,11.35,11.45,11.45,7392500
2024-11-21,11.3,11.5,11.3,11.5,11.5,5046600
2024-11-20,11.15,11.45,11.1,11.3,11.3,6382300
2024-11-19,11.35,11.4,11.2,11.2,11.2,3964500
2024-11-18,11.3,11.55,11.15,11.3,11.3,7189400
2024-11-15,11.5,11.55,11.3,11.3,11.3,8751500
2024-11-14,11.7,11.7,11.4,11.6,11.6,7200500
2024-11-13,11.6,11.7,11.45,11.7,11.7,9990700
2024-11-12,11.65,11.75,11.6,11.7,11.7,6875200
2024-11-11,11.95,11.95,11.6,11.65,11.65,15842100
2024-11-08,12.0,12.05,11.8,12.0,12.0,6527800
2024-11-07,12.1,12.1,11.95,11.95,11.95,6113900
2024-11-06,11.85,12.1,11.85,12.05,12.05,8656200
2024-11-05,11.75,11.9,11.75,11.8,11.8,5819900
2024-11-04,12.05,12.05,11.7,11.75,11.75,15181800
2024-11-01,12.25,12.3,12.05,12.05,12.05,9673300
2024-10-31,12.15,12.4,12.1,12.35,12.35,10304000
2024-10-30,12.35,12.35,12.1,12.25,12.25,11969000
2024-10-29,12.35,12.45,12.3,12.35,12.35,5992800
2024-10-28,12.3,12.35,12.2,12.35,12.35,6033400
2024-10-25,12.4,12.45,12.1,12.25,12.25,16566300
2024-10-24,12.85,12.9,12.35,12.35,12.35,16337500
2024-10-23,12.75,12.95,12.6,12.85,12.85,11897500
2024-10-22,12.8,13.1,12.6,12.75,12.75,19818500
2024-10-21,12.95,13.0,12.8,12.8,12.8,12533600
2024-10-18,13.15,13.2,12.95,13.05,13.05,25467600
2024-10-17,12.7,13.2,12.6,13.2,13.2,23891900
2024-10-16,12.65,12.7,12.55,12.7,12.7,11599900
2024-10-15,12.8,12.95,12.65,12.75,12.75,11328900
2024-10-14,12.8,12.85,12.55,12.7,12.7,10907600
2024-10-11,12.7,12.75,12.6,12.7,12.7,8905800
2024-10-10,13.0,13.1,12.7,12.7,12.7,21014000
2024-10-09,12.8,12.95,12.75,12.9,12.9,10751000
2024-10-08,13.05,13.2,12.8,12.8,12.8,14023400
2024-10-07,12.7,13.0,12.6,13.0,13.0,14566000
2024-10-04,12.9,12.9,12.65,12.65,12.65,13367900
2024-10-03,13.05,13.35,12.8,12.85,12.85,23996700
2024-10-02,12.85,13.05,12.85,13.05,13.05,13510800
2024-10-01,13.05,13.1,12.9,13.0,13.0,12957800
2024-09-30,12.6,13.15,12.55,13.05,13.05,24823700
2024-09-27,12.75,12.75,12.45,12.6,12.6,12526900
2024-09-26,11.95,12.75,11.95,12.6,12.6,36403300
2024-09-25,11.65,12.1,11.6,11.95,11.95,22353300
2024-09-24,11.45,11.6,11.4,11.6,11.6,4539100
2024-09-23,11.55,11.65,11.45,11.45,11.45,3195900
2024-09-20,11.6,11.7,11.5,11.55,11.55,6842800
2024-09-19,11.4,11.5,11.35,11.5,11.5,2542500
2024-09-18,11.45,11.5,11.35,11.4,11.4,3237000
2024-09-17,11.35,11.45,11.25,11.45,11.45,1824100
2024-09-16,11.4,11.45,11.25,11.4,11.4,1900000
2024-09-13,11.35,11.5,11.25,11.4,11.4,4714700
2024-09-12,11.35,11.4,11.25,11.35,11.35,1668200
2024-09-11,11.3,11.35,11.15,11.3,11.3,3464900
2024-09-10,11.35,11.4,11.25,11.35,11.35,2799400
2024-09-09,11.3,11.4,11.25,11.4,11.4,1913200
2024-09-06,11.3,11.4,11.2,11.4,11.4,3949700
2024-09-05,11.4,11.5,11.3,11.35,11.35,3855900
2024-09-04,11.5,11.5,11.35,11.35,11.35,4719900
2024-08-30,11.6,11.6,11.5,11.6,11.6,3550600
2024-08-29,11.75,11.8,11.55,11.55,11.55,8539300
2024-08-28,11.65,11.8,11.5,11.8,11.8,16077100
2024-08-27,14.9,14.9,14.8,14.85,11.42,12136400
2024-08-26,15.0,15.05,14.85,14.9,11.46,10264500
2024-08-23,14.95,15.0,14.8,14.9,11.46,6055500
2024-08-22,15.1,15.15,14.9,15.0,11.54,6082800
2024-08-21,14.8,15.0,14.7,15.0,11.54,10436100
2024-08-20,14.8,14.85,14.65,14.8,11.38,5404000
2024-08-19,14.9,14.9,14.65,14.8,11.38,5435600
2024-08-16,14.45,14.75,14.4,14.7,11.31,6598100
2024-08-15,14.5,14.5,14.3,14.45,11.11,1783000
2024-08-14,14.55,14.55,14.4,14.45,11.11,2164300
2024-08-13,14.6,14.65,14.45,14.45,11.11,2711400
2024-08-12,14.25,14.6,14.2,14.6,11.23,5875800
2024-08-09,13.95,14.1,13.9,14.1,10.85,3657400
2024-08-08,13.95,14.0,13.75,13.9,10.69,3085700
2024-08-07,13.95,14.0,13.85,14.0,10.77,1642300
2024-08-06,13.65,14.0,13.65,14.0,10.77,4400800
2024-08-05,14.25,14.35,13.55,13.6,10.46,11813400
2024-08-02,14.3,14.55,14.2,14.5,11.15,5398000
2024-08-01,14.6,14.7,14.35,14.45,11.11,7748700
2024-07-31,14.65,14.85,14.6,14.65,11.27,7081300
2024-07-30,14.6,14.65,14.4,14.65,11.27,3446800
2024-07-29,14.75,14.75,14.55,14.7,11.31,2265000
2024-07-26,14.6,14.7,14.45,14.7,11.31,2758000
2024-07-25,14.5,14.65,14.35,14.55,11.19,3918400
2024-07-24,14.4,14.6,14.2,14.6,11.23,5949300
2024-07-23,15.1,15.1,14.15,14.45,11.11,8865700
2024-07-22,15.0,15.2,14.8,15.0,11.54,11462700
2024-07-19,14.75,15.05,14.65,14.95,11.5,13050600
2024-07-18,14.85,14.9,14.65,14.75,11.35,4077400
2024-07-17,14.7,15.1,14.55,14.8,11.38,15604600
2024-07-16,14.6,14.75,14.55,14.6,11.23,5668000
2024-07-15,14.5,14.65,14.4,14.6,11.23,3901800
2024-07-12,14.35,14.5,14.3,14.45,11.11,4043100
2024-07-11,14.45,14.5,14.35,14.35,11.04,3146900
2024-07-10,14.55,14.65,14.35,14.4,11.08,7745200
2024-07-09,14.45,14.65,14.4,14.55,11.19,3672800
2024-07-08,14.6,14.65,14.45,14.55,11.19,3419600
2024-07-05,14.75,14.8,14.6,14.65,11.27,2901600
2024-07-04,14.75,14.85,14.65,14.75,11.35,4275400
2024-07-03,14.7,14.75,14.6,14.75,11.35,3526000
2024-07-02,14.5,14.75,14.35,14.7,11.31,4104600
2024-07-01,14.3,14.5,14.2,14.5,11.15,3815900
2024-06-28,14.6,14.6,14.2,14.3,11.0,2372600
2024-06-27,14.35,14.7,14.35,14.5,11.15,5501900
2024-06-26,14.2,14.35,14.05,14.25,10.96,2579800
2024-06-25,14.15,14.3,14.1,14.25,10.96,1755700
2024-06-24,14.45,14.45,14.15,14.15,10.88,5643900
2024-06-21,14.45,14.55,14.4,14.45,11.11,4553400
2024-06-20,14.55,14.65,14.4,14.45,11.11,4155400
2024-06-19,14.6,14.65,14.4,14.6,11.23,5198700
2024-06-18,14.8,14.85,14.55,14.6,11.23,7523400
2024-06-17,14.8,14.8,14.55,14.8,11.38,4629100
2024-06-14,15.25,15.25,14.8,14.8,11.38,4989000
2024-06-13,15.0,15.3,14.9,15.2,11.69,9859900
2024-06-12,14.9,14.95,14.75,14.95,11.5,4360700
2024-06-11,15.0,15.0,14.7,14.85,11.42,5060400
2024-06-10,14.95,15.15,14.85,14.9,11.46,7026500
2024-06-07,14.9,15.0,14.75,14.8,11.38,3918700
2024-06-06,14.75,14.85,14.65,14.8,11.38,5939700
2024-06-05,14.85,14.9,14.6,14.7,11.31,4825000
2024-06-04,14.8,14.95,14.7,14.75,11.35,6019600
2024-06-03,14.4,14.95,14.35,14.75,11.35,12733800
2024-05-31,14.2,14.3,14.1,14.3,11.0,3158300
2024-05-30,14.15,14.2,13.95,14.2,10.92,4803800
2024-05-29,14.35,14.35,14.2,14.2,10.92,3051000
2024-05-28,14.35,14.35,14.2,14.35,11.04,3018500
2024-05-27,14.15,14.3,14.15,14.3,11.0,1566000
2024-05-24,14.25,14.5,14.0,14.25,10.96,7761800
2024-05-23,14.3,14.3,14.1,14.3,11.0,3521900
2024-05-22,14.45,14.45,14.2,14.3,11.0,4967600
2024-05-21,14.45,14.45,14.2,14.4,11.08,4464000
2024-05-20,14.4,14.55,14.3,14.45,11.11,5601600
2024-05-17,14.35,14.4,14.25,14.3,11.0,4058000
2024-05-16,14.15,14.35,14.1,14.35,11.04,7184300
2024-05-15,14.05,14.1,13.9,14.1,10.85,3261500
2024-05-14,14.05,14.15,13.9,14.0,10.77,3465700
2024-05-13,14.0,14.05,13.9,13.95,10.73,2637900
2024-05-10,14.2,14.2,13.85,14.1,10.85,4635300
2024-05-09,14.15,14.25,14.0,14.15,10.88,4028600
2024-05-08,14.1,14.2,13.9,14.15,10.88,4631600
2024-05-07,14.1,14.3,13.9,14.15,10.88,6248900
2024-05-06,13.7,14.0,13.6,14.0,10.77,5594700
2024-05-03,13.7,13.75,13.5,13.55,10.42,4510300
2024-05-02,13.6,13.65,13.5,13.6,10.46,2135400
2024-04-26,13.5,13.65,13.45,13.6,10.46,3373000
2024-04-25,13.8,13.8,13.4,13.55,10.42,6244200
2024-04-24,13.7,13.85,13.65,13.75,10.58,5129000
2024-04-23,13.6,13.85,13.5,13.6,10.46,7195800
2024-04-22,13.5,13.6,13.45,13.55,10.42,3539400
2024-04-19,13.1,13.55,13.1,13.45,10.35,9235800
2024-04-17,13.65,13.75,13.2,13.2,10.15,7897800
2024-04-16,13.9,14.0,13.3,13.6,10.46,11950900
2024-04-15,14.65,14.75,13.8,13.8,10.62,12403700
2024-04-12,14.35,14.75,14.3,14.65,11.27,6020100
2024-04-11,14.25,14.4,14.2,14.35,11.04,2494900
2024-04-10,14.55,14.6,14.35,14.35,11.04,3781700
2024-04-09,14.25,14.45,14.25,14.45,11.11,3959600
2024-04-08,14.2,14.4,14.2,14.2,10.92,3993000
2024-04-05,14.35,14.4,14.2,14.2,10.92,5761300
2024-04-04,14.6,14.6,14.4,14.4,11.08,4895000
2024-04-03,14.65,14.95,14.55,14.55,11.19,12351600
2024-04-02,14.35,14.65,14.2,14.6,11.23,6663200
2024-04-01,14.55,14.6,14.35,14.4,11.08,6227400
2024-03-29,14.8,14.8,14.55,14.55,11.19,8241300
2024-03-28,14.85,15.05,14.75,14.9,11.46,5537300
2024-03-27,14.9,14.9,14.75,14.75,11.35,5056500
2024-03-26,14.65,14.85,14.65,14.8,11.38,5484000
2024-03-25,15.0,15.05,14.7,14.75,11.35,9029400
2024-03-22,15.0,15.4,14.9,15.05,11.58,14603000
2024-03-21,14.9,14.95,14.65,14.9,11.46,8616800
2024-03-20,14.35,14.8,14.3,14.8,11.38,10665000
2024-03-19,14.25,14.35,14.05,14.35,11.04,6360700
2024-03-18,14.75,14.85,13.85,14.2,10.92,17244600
2024-03-15,14.7,14.8,14.45,14.7,11.31,10181900
2024-03-14,15.05,15.05,14.7,14.7,11.31,8052300
2024-03-13,14.75,15.0,14.65,14.95,11.5,6676800
2024-03-12,14.7,14.8,14.6,14.7,11.31,8452900
2024-03-11,14.85,14.9,14.6,14.7,11.31,9212200
2024-03-08,15.35,15.45,14.85,14.85,11.42,22194800
2024-03-07,15.55,15.6,15.3,15.35,11.81,10279900
