date,open,high,low,close,adjusted_close,volume
2025-11-18,12.35,12.45,12.35,0.0,12.35,2017800
2024-12-31,10.9,11.4,10.9,11.4,10.01,3298900
2024-12-30,10.95,11.0,10.8,11.0,9.66,1462900
2024-12-27,11.0,11.1,10.9,10.95,9.62,2746100
2024-12-26,11.05,11.05,10.85,10.9,9.57,1517000
2024-12-25,10.85,11.15,10.8,11.0,9.66,4785000
2024-12-24,10.85,10.9,10.75,10.9,9.57,949800
2024-12-23,10.7,10.85,10.7,10.85,9.53,1954100
2024-12-20,10.75,10.75,10.65,10.7,9.4,1913300
2024-12-19,10.7,10.75,10.6,10.75,9.44,2498700
2024-12-18,10.8,10.9,10.75,10.85,9.53,1676000
2024-12-17,10.9,10.95,10.8,10.8,9.48,1031400
2024-12-16,10.9,10.95,10.8,10.9,9.57,1649600
2024-12-13,11.25,11.25,10.8,10.9,9.57,5802200
2024-12-12,11.25,11.4,11.15,11.25,9.88,3220700
2024-12-11,11.25,11.4,11.0,11.3,9.92,4955400
2024-12-10,11.1,11.2,11.0,11.2,9.84,5501200
2024-12-09,10.85,11.15,10.8,11.1,9.75,6175800
2024-12-06,10.8,10.9,10.7,10.85,9.53,3037400
2024-12-05,10.65,10.85,10.55,10.85,9.53,3290400
2024-12-04,10.8,10.8,10.65,10.65,9.35,3862500
2024-12-03,10.7,10.85,10.6,10.8,9.48,2496700
2024-12-02,10.8,10.8,10.7,10.75,9.44,1594400
2024-11-29,10.5,10.8,10.45,10.75,9.44,6418600
2024-11-28,10.5,10.6,10.45,10.5,9.22,2074200
2024-11-27,10.55,10.6,10.45,10.5,9.22,2229400
2024-11-26,10.45,10.6,10.45,10.55,9.27,2434600
2024-11-25,10.45,10.5,10.4,10.4,9.13,1960800
2024-11-22,10.45,10.5,10.4,10.4,9.13,2438000
2024-11-21,10.45,10.55,10.35,10.45,9.18,2507100
2024-11-20,10.35,10.55,10.35,10.45,9.18,1986900
2024-11-19,10.5,10.5,10.35,10.35,9.09,1408800
2024-11-18,10.3,10.6,10.3,10.5,9.22,1790300
2024-11-15,10.4,10.5,10.2,10.35,9.09,3785900
2024-11-14,10.75,10.75,10.5,10.5,9.22,3213200
2024-11-13,10.75,10.8,10.6,10.75,9.44,2700500
2024-11-12,10.6,10.85,10.55,10.75,9.44,4160000
2024-11-11,10.6,10.6,10.45,10.55,9.27,4495000
2024-11-08,10.75,10.75,10.55,10.6,9.31,4753400
2024-11-07,10.9,10.9,10.7,10.7,9.4,4814000
2024-11-06,10.75,10.85,10.7,10.8,9.48,5327900
2024-11-05,10.9,10.95,10.65,10.7,9.4,4587600
2024-11-04,11.2,11.25,10.8,10.85,9.53,7210000
2024-11-01,11.45,11.5,11.15,11.15,9.79,7247800
2024-10-31,11.6,11.65,11.45,11.45,10.06,3030500
2024-10-30,11.65,11.7,11.45,11.55,10.14,3280800
2024-10-29,11.5,11.7,11.45,11.65,10.23,2516400
2024-10-28,11.45,11.55,11.45,11.5,10.1,1617500
2024-10-25,11.6,11.65,11.4,11.4,10.01,3609600
2024-10-24,11.8,11.85,11.5,11.5,10.1,5021300
2024-10-23,11.75,11.85,11.7,11.75,10.32,2406300
2024-10-22,12.2,12.2,11.7,11.75,10.32,9779100
2024-10-21,12.35,12.4,12.2,12.2,10.71,3381300
2024-10-18,12.4,12.65,12.35,12.35,10.85,6574000
2024-10-17,12.3,12.45,12.15,12.35,10.85,4337500
2024-10-16,12.25,12.35,12.15,12.25,10.76,2083200
2024-10-15,12.25,12.5,12.2,12.25,10.76,4566200
2024-10-14,12.35,12.4,12.2,12.2,10.71,4118500
2024-10-11,12.4,12.45,12.2,12.25,10.76,5801600
2024-10-10,12.75,12.75,12.4,12.4,10.89,7229700
2024-10-09,12.5,12.65,12.45,12.65,11.11,5373900
2024-10-08,12.6,12.9,12.55,12.55,11.02,8625400
2024-10-07,12.8,12.9,12.45,12.55,11.02,8155000
2024-10-04,12.9,13.1,12.75,12.8,11.24,5956500
2024-10-03,11.95,12.75,11.95,12.75,11.2,24119100
2024-10-02,12.0,12.1,11.9,11.95,10.49,3068300
2024-10-01,12.15,12.2,12.05,12.1,10.63,3927300
