date,open,high,low,close,adjusted_close,volume
2025-11-18,17.45,17.45,17.15,0.0,17.2,1823700
2024-12-31,16.85,16.85,16.6,16.75,16.75,1631400
2024-12-30,16.8,16.95,16.7,16.7,16.7,1727400
2024-12-27,17.05,17.2,16.9,16.9,16.9,1741800
2024-12-26,17.25,17.3,16.9,16.9,16.9,1693500
2024-12-25,16.85,17.25,16.85,17.25,17.25,1924800
2024-12-24,16.9,17.05,16.75,17.05,17.05,1701000
2024-12-23,16.65,16.95,16.6,16.95,16.95,1748500
2024-12-20,16.8,16.9,16.5,16.7,16.7,1581500
2024-12-19,17.05,17.1,16.5,16.5,16.5,2264900
2024-12-18,17.1,17.25,17.1,17.25,17.25,1526600
2024-12-17,17.25,17.3,16.95,17.3,17.3,2372600
2024-12-16,17.35,17.35,17.1,17.3,17.3,1704900
2024-12-13,17.25,17.4,17.1,17.35,17.35,1793700
2024-12-12,17.35,17.4,17.15,17.4,17.4,1754100
2024-12-11,17.35,17.4,17.1,17.35,17.35,2086500
2024-12-10,17.3,17.45,17.25,17.35,17.35,2288800
2024-12-09,17.1,17.4,17.0,17.3,17.3,2470500
2024-12-06,17.0,17.6,17.0,17.25,17.25,1856600
2024-12-05,16.95,17.2,16.8,17.2,17.2,2301900
2024-12-04,16.8,16.95,16.75,16.95,16.95,1748200
2024-12-03,16.95,17.0,16.75,17.0,17.0,1829200
2024-12-02,17.0,17.05,16.85,16.95,16.95,1740600
2024-11-29,17.0,17.0,16.8,17.0,17.0,2162800
2024-11-28,17.0,17.1,16.8,17.0,17.0,1942700
2024-11-27,16.75,16.95,16.75,16.95,16.95,1939200
2024-11-26,16.8,16.9,16.75,16.9,16.9,1845000
2024-11-25,16.85,16.9,16.7,16.85,16.85,1972900
2024-11-22,16.85,16.9,16.7,16.9,16.9,1697400
2024-11-21,16.7,16.9,16.55,16.9,16.9,2243100
2024-11-20,16.55,16.9,16.55,16.9,16.9,1905200
2024-11-19,16.55,17.0,16.5,16.9,16.9,3297900
2024-11-18,16.6,16.85,16.4,16.85,16.85,3545400
