date,open,high,low,close,adjusted_close,volume
2025-11-18,48.9,49.05,48.5,0.0,48.65,3407900
2024-12-31,37.55,37.55,36.9,36.9,36.9,9388400
2024-12-30,37.35,37.85,36.8,37.85,37.85,10631900
2024-12-27,37.2,37.4,36.9,37.4,37.4,11145700
2024-12-26,36.45,37.4,36.35,37.1,37.1,16442000
2024-12-25,34.8,36.5,34.75,36.25,36.25,24376900
2024-12-24,34.55,34.75,34.35,34.7,34.7,6484800
2024-12-23,34.15,35.0,34.1,34.5,34.5,10898800
2024-12-20,33.75,33.95,33.5,33.85,33.85,7578900
2024-12-19,33.8,34.0,33.55,33.9,33.9,8676200
2024-12-18,34.1,34.2,33.85,34.2,34.2,4850900
2024-12-17,34.1,34.2,33.85,34.1,34.1,3703800
2024-12-16,34.0,34.1,33.85,34.1,34.1,4502700
2024-12-13,33.8,34.2,33.55,34.0,34.0,7644600
2024-12-12,33.65,34.1,33.65,33.8,33.8,4826000
2024-12-11,33.8,33.9,33.5,33.65,33.65,5182000
2024-12-10,34.05,34.2,33.5,33.5,33.5,5671300
2024-12-09,33.7,34.1,33.6,34.0,34.0,5819800
2024-12-06,33.9,33.95,33.6,33.8,33.8,5016000
2024-12-05,32.35,34.0,32.25,33.95,33.95,13198900
2024-12-04,32.55,32.6,32.15,32.4,32.4,5780600
2024-12-03,33.15,33.15,32.6,32.6,32.6,8715400
2024-12-02,33.4,33.4,32.85,33.1,33.1,5222300
2024-11-29,33.05,33.3,32.8,33.3,33.3,6626200
2024-11-28,33.2,33.6,32.95,33.15,33.15,8503500
2024-11-27,33.1,33.3,32.8,33.2,33.2,5196000
2024-11-26,33.0,33.35,32.95,33.2,33.2,6126800
2024-11-25,32.7,33.15,32.65,32.85,32.85,5082200
2024-11-22,33.0,33.15,32.6,32.65,32.65,5610500
2024-11-21,32.4,33.05,32.25,33.05,33.05,8026600
2024-11-20,31.7,32.75,31.3,32.4,32.4,8575900
2024-11-19,32.6,32.6,31.75,31.95,31.95,7271700
2024-11-18,32.55,32.7,31.9,32.6,32.6,10149900
2024-11-15,32.4,32.85,32.2,32.4,32.4,12216400
2024-11-14,33.55,33.55,32.5,32.5,32.5,9004900
2024-11-13,33.5,33.5,32.4,33.4,33.4,15006400
2024-11-12,33.8,33.9,33.25,33.55,33.55,14613800
2024-11-11,35.4,35.55,33.4,33.8,33.8,32893000
2024-11-08,35.85,36.0,35.0,35.5,35.5,9413400
2024-11-07,35.6,35.8,35.4,35.6,35.6,8231800
2024-11-06,35.0,35.5,34.8,35.5,35.5,6934000
2024-11-05,34.85,35.3,34.85,34.85,34.85,6852800
2024-11-04,35.0,35.35,34.65,34.9,34.9,11339100
2024-11-01,35.0,35.25,34.95,35.0,35.0,9112000
