date,open,high,low,close,adjusted_close,volume
2025-11-18,35.2,35.35,35.0,0.0,35.0,4284600
2024-12-31,24.35,24.65,24.35,24.65,24.01,9403700
2024-12-30,24.75,24.75,24.35,24.4,23.77,10145800
2024-12-27,24.5,24.9,24.45,24.6,23.97,15395600
2024-12-26,24.5,24.55,24.3,24.35,23.72,5475600
2024-12-25,24.0,24.9,23.95,24.45,23.82,18370600
2024-12-24,24.05,24.05,23.8,24.0,23.38,5175500
2024-12-23,24.0,24.05,23.8,23.9,23.28,3208600
2024-12-20,23.85,23.95,23.8,23.8,23.19,4594100
2024-12-19,24.0,24.05,23.75,23.75,23.14,15028500
2024-12-18,24.25,24.3,24.1,24.2,23.58,5786300
2024-12-17,24.4,24.4,24.15,24.2,23.58,5387400
2024-12-16,24.3,24.4,24.1,24.3,23.67,6356400
2024-12-13,24.3,24.55,24.1,24.35,23.72,11020400
2024-12-12,24.2,24.5,24.15,24.25,23.62,18543300
2024-12-11,24.05,24.3,24.0,24.15,23.53,10341200
2024-12-10,24.05,24.2,24.0,24.05,23.43,7039400
2024-12-09,24.1,24.3,23.95,24.15,23.53,7597400
2024-12-06,24.2,24.25,23.95,24.15,23.53,10921300
2024-12-05,23.45,24.2,23.35,24.2,23.58,14188900
2024-12-04,23.45,23.6,23.4,23.45,22.84,8179300
2024-12-03,23.65,23.75,23.45,23.65,23.04,8333300
2024-12-02,23.7,23.7,23.4,23.65,23.04,6569300
2024-11-29,23.5,23.6,23.35,23.6,22.99,8447400
2024-11-28,23.65,23.7,23.4,23.6,22.99,8136900
2024-11-27,23.5,23.6,23.35,23.5,22.89,6388200
2024-11-26,23.5,23.7,23.45,23.55,22.94,6757500
2024-11-25,23.5,23.6,23.4,23.5,22.89,7187600
2024-11-22,23.2,23.55,23.15,23.5,22.89,14405800
2024-11-21,22.8,23.2,22.6,23.2,22.6,11213000
2024-11-20,22.3,22.85,22.25,22.85,22.26,10247500
2024-11-19,22.55,22.55,22.2,22.4,21.82,6936100
2024-11-18,22.4,22.7,22.2,22.45,21.87,12110400
2024-11-15,22.8,22.8,22.4,22.45,21.87,14453100
2024-11-14,23.0,23.05,22.75,22.8,22.21,7429400
2024-11-13,23.0,23.15,22.7,23.15,22.55,13323900
2024-11-12,23.4,23.4,22.9,23.05,22.46,12489700
2024-11-11,23.7,23.7,23.05,23.2,22.6,15357300
2024-11-08,24.0,24.0,23.45,23.6,22.99,13097100
2024-11-07,24.15,24.15,23.85,23.85,23.23,8601500
2024-11-06,23.6,24.05,23.6,23.9,23.28,15680200
2024-11-05,23.5,23.65,23.45,23.45,22.84,9921800
2024-11-04,23.75,23.75,23.4,23.45,22.84,13930100
2024-11-01,23.85,24.0,23.7,23.7,23.09,14550800
2024-10-31,24.0,24.1,23.85,23.9,23.28,8621600
2024-10-30,23.8,24.0,23.75,24.0,23.38,11087000
2024-10-29,23.7,23.85,23.7,23.75,23.14,6285800
2024-10-28,23.5,23.7,23.45,23.65,23.04,7020100
2024-10-25,23.75,23.85,23.4,23.5,22.89,14325400
2024-10-24,24.15,24.2,23.55,23.65,23.04,14256700
2024-10-23,24.2,24.3,23.75,24.2,23.58,16761400
2024-10-22,24.2,24.4,24.0,24.2,23.58,16879300
2024-10-21,24.45,24.5,24.1,24.15,23.53,9745000
2024-10-18,24.45,24.8,24.4,24.45,23.82,15418700
2024-10-17,24.2,24.4,24.1,24.35,23.72,9422800
2024-10-16,24.2,24.3,24.1,24.2,23.58,9019700
2024-10-15,24.35,24.6,24.15,24.25,23.62,14126800
2024-10-14,24.55,24.6,24.35,24.35,23.72,11945500
2024-10-11,24.55,24.6,24.25,24.45,23.82,13916200
2024-10-10,24.9,25.0,24.55,24.55,23.92,18247800
2024-10-09,24.4,24.75,24.3,24.65,24.01,21677200
2024-10-08,24.2,24.6,24.2,24.4,23.77,16248500
2024-10-07,24.25,24.35,24.0,24.15,23.53,12843900
2024-10-04,24.35,24.45,24.05,24.05,23.43,21424400
2024-10-03,24.95,25.2,24.35,24.35,23.72,29754600
2024-10-02,24.55,25.15,24.35,24.9,24.26,28212200
2024-10-01,24.2,24.8,24.15,24.65,24.01,40736400
2024-09-30,24.15,24.35,23.95,24.2,23.58,21491800
2024-09-27,24.2,24.35,24.05,24.2,23.58,16810100
2024-09-26,23.8,24.4,23.65,24.1,23.48,26218200
2024-09-25,23.75,23.95,23.6,23.8,23.19,23428400
2024-09-24,23.3,23.6,23.3,23.55,22.94,11039500
2024-09-23,23.55,23.75,23.35,23.35,22.75,8232000
2024-09-20,23.3,23.7,23.3,23.55,22.94,30615100
2024-09-19,23.2,23.2,22.9,23.2,22.6,13432600
2024-09-18,22.75,23.1,22.7,23.0,22.41,15057800
2024-09-17,22.15,22.75,22.15,22.75,22.16,7238500
2024-09-16,22.2,22.7,22.2,22.2,21.63,11594300
2024-09-13,22.3,22.35,22.15,22.2,21.63,10103800
2024-09-12,22.3,22.4,22.15,22.3,21.72,9122600
2024-09-11,22.15,22.25,21.95,22.1,21.53,11246200
2024-09-10,22.7,22.75,22.2,22.25,21.68,14110600
2024-09-09,22.7,22.85,22.6,22.65,22.07,12271500
2024-09-06,22.8,22.95,22.65,22.8,22.21,12161700
2024-09-05,22.9,23.05,22.7,22.8,22.21,11375000
2024-09-04,23.05,23.25,22.85,23.0,22.41,13719600
2024-08-30,23.0,23.35,23.0,23.35,22.75,13276300
2024-08-29,23.0,23.25,23.0,23.0,22.41,16097600
2024-08-28,22.7,23.15,22.6,23.0,22.41,19145000
2024-08-27,22.5,22.7,22.45,22.65,22.07,15067700
2024-08-26,22.5,22.65,22.4,22.5,21.92,16940600
2024-08-23,22.35,22.5,22.2,22.4,21.82,11973100
2024-08-22,22.0,22.65,22.0,22.35,21.77,20780600
2024-08-21,21.7,22.1,21.55,22.0,21.43,20036300
2024-08-20,21.95,22.05,21.8,21.85,21.29,12413000
2024-08-19,21.55,21.95,21.4,21.9,21.34,15706900
2024-08-16,21.15,21.55,21.05,21.45,20.9,21418700
2024-08-15,21.2,21.2,20.95,21.15,20.6,9559800
2024-08-14,21.05,21.3,20.9,21.2,20.65,11836400
2024-08-13,21.2,21.2,20.9,21.0,20.46,11492700
2024-08-12,21.2,21.25,21.0,21.25,20.7,10346600
2024-08-09,21.0,21.3,21.0,21.1,20.56,14966900
2024-08-08,21.6,21.65,20.75,20.85,20.31,41051900
2024-08-07,22.4,22.4,21.75,21.8,21.24,19624800
2024-08-06,22.4,22.6,22.05,22.3,21.72,17667600
2024-08-05,23.0,23.0,22.3,22.3,21.72,16810500
2024-08-02,22.55,23.5,22.55,23.5,22.89,13700300
2024-08-01,23.2,23.25,22.55,23.0,22.41,11637400
2024-07-31,23.0,23.35,22.95,23.25,22.65,11002900
2024-07-30,22.7,22.95,22.6,22.95,22.36,6723500
2024-07-29,22.85,22.95,22.75,22.75,22.16,5198700
2024-07-26,22.7,22.85,22.6,22.75,22.16,6322500
