date,open,high,low,close,adjusted_close,volume
2025-11-18,17.15,17.6,17.1,0.0,17.4,8115700
2024-12-31,16.65,16.8,16.5,16.65,15.86,7930000
2024-12-30,16.8,16.9,16.5,16.65,15.86,6732600
2024-12-27,16.6,17.05,16.55,16.75,15.95,27796400
2024-12-26,16.35,16.6,16.35,16.55,15.76,6862500
2024-12-25,16.1,16.85,16.05,16.4,15.62,14525600
2024-12-24,16.05,16.15,16.0,16.05,15.29,5949200
2024-12-23,16.15,16.2,16.0,16.05,15.29,6272100
2024-12-20,16.05,16.05,15.9,15.9,15.14,5572800
2024-12-19,16.05,16.15,15.95,16.0,15.24,10785400
2024-12-18,16.2,16.3,16.1,16.25,15.48,5405700
2024-12-17,16.2,16.3,16.15,16.2,15.43,4265400
2024-12-16,16.25,16.4,16.15,16.2,15.43,9848600
2024-12-13,16.35,16.45,16.25,16.25,15.48,4585600
2024-12-12,16.35,16.65,16.25,16.35,15.57,17357400
2024-12-11,16.4,16.5,16.2,16.3,15.52,6312900
2024-12-10,16.4,16.5,16.35,16.35,15.57,4978800
2024-12-09,16.35,16.5,16.25,16.4,15.62,8418500
2024-12-06,16.5,16.5,16.25,16.25,15.48,9727100
2024-12-05,15.85,16.45,15.75,16.45,15.67,11737500
2024-12-04,16.05,16.05,15.8,15.8,15.05,8010900
2024-12-03,16.15,16.2,16.0,16.0,15.24,6553700
2024-12-02,16.35,16.45,16.1,16.1,15.33,6793000
2024-11-29,16.25,16.35,16.2,16.2,15.43,4912000
2024-11-28,16.25,16.5,16.2,16.25,15.48,11221300
2024-11-27,16.15,16.3,16.1,16.15,15.38,4886900
2024-11-26,16.15,16.4,16.15,16.15,15.38,7393100
2024-11-25,16.15,16.25,16.05,16.15,15.38,5428500
2024-11-22,16.2,16.3,16.1,16.1,15.33,6826400
2024-11-21,16.15,16.25,16.05,16.25,15.48,6027200
2024-11-20,15.7,16.35,15.7,16.05,15.29,11375300
2024-11-19,15.95,16.05,15.8,15.8,15.05,9959400
2024-11-18,15.6,16.1,15.55,16.0,15.24,16208300
2024-11-15,15.6,15.75,15.5,15.6,14.86,16220400
2024-11-14,16.05,16.3,15.75,15.75,15.0,10651400
2024-11-13,16.05,16.2,15.7,16.15,15.38,17328900
2024-11-12,16.3,16.3,16.05,16.1,15.33,9278100
2024-11-11,16.6,16.65,16.0,16.2,15.43,30694100
2024-11-08,16.9,16.9,16.55,16.65,15.86,8665200
2024-11-07,17.05,17.05,16.75,16.8,16.0,6837000
2024-11-06,16.7,17.05,16.55,16.95,16.14,12037400
2024-11-05,16.55,16.7,16.5,16.55,15.76,9258300
