date,open,high,low,close,adjusted_close,volume
2025-11-18,60.4,60.4,60.0,0.0,60.0,947400
2024-12-31,92.2,92.4,91.2,91.2,60.56,2374000
2024-12-30,92.2,92.5,92.0,92.0,61.1,1706700
2024-12-27,92.5,93.0,92.2,92.2,61.23,1639900
2024-12-26,92.5,92.8,92.0,92.1,61.16,2202900
2024-12-25,92.2,93.8,92.2,92.4,61.36,1827700
2024-12-24,92.7,92.8,92.0,92.1,61.16,1024300
2024-12-23,92.6,92.8,92.4,92.4,61.36,707200
2024-12-20,92.4,92.9,92.3,92.5,61.43,1245900
2024-12-19,92.8,92.8,92.2,92.4,61.36,1869700
2024-12-18,93.0,93.3,93.0,93.1,61.83,530300
2024-12-17,93.0,93.1,92.8,93.0,61.76,1048100
2024-12-16,93.0,93.2,92.9,93.1,61.83,1121800
2024-12-13,93.2,93.6,92.9,93.1,61.83,1227700
2024-12-12,93.5,94.4,93.5,93.5,62.09,671500
2024-12-11,94.5,94.8,93.2,93.3,61.96,1609700
2024-12-10,95.3,95.3,94.5,94.5,62.76,912700
2024-12-09,94.2,95.3,93.9,95.3,63.29,1957500
2024-12-06,94.0,95.3,93.9,94.2,62.56,1700100
2024-12-05,93.0,94.6,93.0,94.0,62.42,2333000
2024-12-04,92.8,93.9,92.5,93.5,62.09,1204400
2024-12-03,94.4,94.4,92.6,93.0,61.76,2445800
2024-12-02,94.9,95.1,93.9,94.2,62.56,1573100
2024-11-29,92.6,93.3,92.5,93.3,61.96,1010500
2024-11-28,93.1,93.5,92.5,92.6,61.49,1289900
2024-11-27,92.3,93.2,92.3,92.7,61.56,1047200
2024-11-26,91.4,92.9,91.4,92.4,61.36,1759900
2024-11-25,90.9,92.2,90.9,91.3,60.63,1814000
2024-11-22,91.0,91.3,90.6,90.6,60.17,1729700
2024-11-21,90.4,91.3,90.2,90.5,60.1,1461100
2024-11-20,90.0,91.2,89.9,90.3,59.97,1640700
2024-11-19,91.5,91.6,90.0,90.0,59.77,1577000
2024-11-18,91.7,92.3,90.9,91.0,60.43,1874900
2024-11-15,92.0,92.5,91.6,91.7,60.9,1508600
2024-11-14,92.0,92.5,91.9,92.0,61.1,1719700
2024-11-13,91.9,92.9,91.9,92.5,61.43,1331800
2024-11-12,92.0,93.2,91.9,91.9,61.03,1336300
2024-11-11,92.8,92.8,91.9,92.0,61.1,1873400
2024-11-08,93.5,93.9,92.2,92.2,61.23,1380000
2024-11-07,93.2,93.9,93.2,93.2,61.89,1418900
2024-11-06,92.8,93.4,92.8,92.9,61.69,1416800
2024-11-05,92.6,93.0,92.0,92.6,61.49,1082700
2024-11-04,94.0,95.3,92.4,92.5,61.43,1853600
2024-11-01,94.0,94.9,93.5,93.5,62.09,1729900
2024-10-31,91.5,95.0,91.5,93.6,62.16,2888900
2024-10-30,92.0,92.4,91.6,91.7,60.9,626500
2024-10-29,92.1,92.6,92.0,92.0,61.1,1297600
2024-10-28,91.5,92.3,91.5,92.0,61.1,1105800
2024-10-25,92.1,92.3,91.7,91.8,60.96,996300
2024-10-24,92.2,92.3,91.4,91.7,60.9,755400
2024-10-23,91.2,91.8,91.2,91.5,60.76,749300
2024-10-22,92.0,92.2,91.4,91.4,60.7,1259500
2024-10-21,92.5,93.3,92.0,92.0,61.1,1423100
2024-10-18,92.7,93.1,92.0,92.4,61.36,1162700
2024-10-17,92.0,92.3,91.7,92.2,61.23,1285400
2024-10-16,91.4,91.8,91.3,91.5,60.76,1293000
2024-10-15,91.3,92.1,91.3,91.4,60.7,1430600
2024-10-14,92.2,92.2,91.3,91.4,60.7,930700
2024-10-11,91.9,91.9,91.2,91.5,60.76,1083500
2024-10-10,92.3,93.0,91.2,91.9,61.03,1325200
2024-10-09,91.3,91.8,90.9,91.0,60.43,2175700
