date,open,high,low,close,adjusted_close,volume
2025-11-18,28.3,28.55,28.15,0.0,28.3,6766700
2024-12-31,19.25,19.25,19.05,19.2,18.69,8163800
2024-12-30,19.2,19.25,19.1,19.25,18.74,6678700
2024-12-27,19.2,19.35,19.1,19.25,18.74,16560300
2024-12-26,19.25,19.3,19.05,19.25,18.74,8211900
2024-12-25,18.95,19.3,18.8,19.2,18.69,14786600
2024-12-24,18.95,19.0,18.75,18.95,18.45,5918600
2024-12-23,18.95,19.15,18.9,18.95,18.45,7737800
2024-12-20,18.8,18.9,18.65,18.9,18.4,6638600
2024-12-19,18.95,18.95,18.6,18.8,18.3,21112100
2024-12-18,19.0,19.1,18.95,19.0,18.5,4843000
2024-12-17,19.1,19.15,18.95,18.95,18.45,8186500
2024-12-16,19.15,19.2,19.0,19.1,18.59,6791900
2024-12-13,19.2,19.3,19.1,19.15,18.64,7750600
2024-12-12,19.25,19.55,19.15,19.3,18.79,23034300
2024-12-11,19.25,19.3,19.05,19.25,18.74,13262400
2024-12-10,19.4,19.45,19.2,19.25,18.74,7241900
2024-12-09,19.25,19.55,19.2,19.4,18.89,19955200
2024-12-06,19.5,19.5,19.3,19.35,18.84,11632800
2024-12-05,19.0,19.5,18.8,19.5,18.98,31488800
2024-12-04,19.05,19.15,18.95,19.0,18.5,8458600
2024-12-03,19.15,19.2,19.0,19.2,18.69,10874600
2024-12-02,19.3,19.3,19.1,19.2,18.69,6324600
2024-11-29,19.15,19.2,19.0,19.15,18.64,6008400
2024-11-28,19.2,19.35,19.05,19.05,18.55,11978600
2024-11-27,19.05,19.2,19.0,19.05,18.55,6902700
2024-11-26,19.05,19.4,19.05,19.05,18.55,18360500
2024-11-25,19.05,19.2,19.05,19.05,18.55,7649800
2024-11-22,19.2,19.3,19.05,19.05,18.55,18059300
2024-11-21,18.7,19.2,18.6,19.2,18.69,27855200
2024-11-20,18.4,18.9,18.4,18.7,18.2,17682700
2024-11-19,18.75,18.8,18.5,18.5,18.01,11166800
2024-11-18,18.6,18.9,18.45,18.7,18.2,19557500
2024-11-15,18.85,18.95,18.7,18.7,18.2,16699300
2024-11-14,19.1,19.2,18.8,19.0,18.5,12405400
2024-11-13,18.95,19.35,18.75,19.35,18.84,20297800
2024-11-12,19.25,19.25,18.9,19.1,18.59,15114900
2024-11-11,19.45,19.45,18.95,19.2,18.69,28129900
2024-11-08,19.8,19.8,19.3,19.5,18.98,24424300
2024-11-07,19.9,19.95,19.6,19.7,19.18,13396000
2024-11-06,19.75,19.95,19.7,19.85,19.32,16235900
2024-11-05,19.55,19.8,19.55,19.7,19.18,9956500
2024-11-04,20.15,20.2,19.6,19.7,19.18,30569300
2024-11-01,20.4,20.4,20.05,20.15,19.62,16603900
2024-10-31,20.25,20.45,20.15,20.45,19.91,13914600
2024-10-30,20.25,20.35,20.15,20.25,19.71,9997900
2024-10-29,20.2,20.3,20.15,20.25,19.71,14155600
2024-10-28,20.0,20.1,19.9,20.1,19.57,11242600
2024-10-25,20.1,20.2,20.0,20.1,19.57,16940400
2024-10-24,20.4,20.45,20.0,20.0,19.47,26049600
2024-10-23,20.5,20.55,20.3,20.45,19.91,15969500
2024-10-22,20.6,20.65,20.3,20.6,20.05,22323400
2024-10-21,20.55,20.75,20.4,20.65,20.1,18193500
2024-10-18,20.85,20.95,20.55,20.55,20.01,24407500
2024-10-17,20.85,20.95,20.7,20.9,20.35,22772200
2024-10-16,20.8,20.9,20.65,20.85,20.3,17841900
2024-10-15,20.5,21.05,20.5,20.85,20.3,44778300
2024-10-14,20.8,20.8,20.4,20.65,20.1,22645500
2024-10-11,20.5,20.7,20.35,20.7,20.15,22150500
2024-10-10,20.35,20.7,20.3,20.55,20.01,45236500
2024-10-09,20.0,20.3,20.0,20.25,19.71,49592300
2024-10-08,20.0,20.15,19.85,20.1,19.57,27923200
2024-10-07,20.1,20.15,19.7,20.0,19.47,25931500
2024-10-04,20.0,20.45,19.95,20.0,19.47,34247700
2024-10-03,19.8,20.45,19.8,20.0,19.47,49868500
2024-10-02,19.8,19.9,19.6,19.7,19.18,37579900
2024-10-01,20.1,20.3,19.85,19.9,19.37,33052600
2024-09-30,19.7,20.15,19.65,20.1,19.57,26723800
2024-09-27,19.7,20.15,19.6,19.75,19.23,62864300
2024-09-26,19.5,19.85,19.35,19.6,19.08,55121600
2024-09-25,19.3,19.55,19.2,19.45,18.93,45912400
2024-09-24,19.0,19.2,18.95,19.2,18.69,37613000
2024-09-23,19.0,19.2,18.9,19.0,18.5,29074100
2024-09-20,18.8,19.1,18.8,18.95,18.45,52246200
2024-09-19,18.65,18.8,18.65,18.75,18.25,17466800
2024-09-18,18.65,18.8,18.5,18.65,18.16,22132500
2024-09-17,18.35,18.65,18.3,18.65,18.16,10212200
2024-09-16,18.4,18.55,18.25,18.35,17.86,8949100
2024-09-13,18.5,18.55,18.3,18.45,17.96,9336300
2024-09-12,18.25,18.6,18.25,18.5,18.01,22640600
2024-09-11,18.1,18.3,18.05,18.25,17.77,11712500
2024-09-10,18.4,18.45,18.1,18.15,17.67,20585600
2024-09-09,18.4,18.45,18.25,18.35,17.86,15693400
2024-09-06,18.3,18.45,18.2,18.45,17.96,15016900
2024-09-05,18.55,18.55,18.3,18.3,17.82,15906000
2024-09-04,18.8,18.8,18.5,18.5,18.01,23328500
2024-08-30,19.1,19.1,18.95,18.95,18.45,11969500
2024-08-29,18.95,19.35,18.9,18.95,18.45,23609900
2024-08-28,19.0,19.1,18.9,18.95,18.45,13771100
2024-08-27,19.1,19.15,18.95,19.0,18.5,15396700
2024-08-26,18.8,19.3,18.8,19.0,18.5,39610000
2024-08-23,18.8,19.0,18.7,18.75,18.25,23789000
2024-08-22,18.75,18.85,18.6,18.75,18.25,13069100
2024-08-21,18.5,18.85,18.45,18.75,18.25,33804500
2024-08-20,18.45,18.65,18.4,18.6,18.11,18245300
2024-08-19,18.4,18.6,18.4,18.45,17.96,12496800
2024-08-16,18.05,18.45,18.0,18.4,17.91,23592000
2024-08-15,18.0,18.1,17.95,18.0,17.52,7537900
2024-08-14,18.15,18.2,18.0,18.0,17.52,8233100
2024-08-13,18.1,18.2,17.95,18.15,17.67,10643300
2024-08-12,18.0,18.15,17.8,18.15,17.67,12636700
2024-08-09,17.85,18.1,17.8,18.0,17.52,10704400
2024-08-08,17.9,18.0,17.5,17.85,17.38,21942400
2024-08-07,18.4,18.4,18.0,18.0,17.52,13538000
2024-08-06,18.35,18.5,18.1,18.35,17.86,13180000
2024-08-05,18.4,18.6,17.95,18.15,17.67,28580900
2024-08-02,18.5,18.75,18.35,18.75,18.25,14027800
2024-08-01,19.15,19.15,18.45,18.55,18.06,15647200
2024-07-31,18.6,19.15,18.6,19.0,18.5,35033400
2024-07-30,18.4,18.7,18.3,18.55,18.06,12800200
2024-07-29,18.5,18.6,18.4,18.4,17.91,6226600
2024-07-26,18.4,18.5,18.3,18.4,17.91,7748600
2024-07-25,18.4,18.5,18.3,18.35,17.86,10459200
2024-07-24,18.35,18.6,18.2,18.5,18.01,13366800
2024-07-23,18.85,18.9,18.2,18.4,17.91,17890000
2024-07-22,18.8,19.05,18.65,18.8,18.3,15847000
2024-07-19,19.0,19.2,18.8,18.8,18.3,16979400
2024-07-18,19.0,19.1,18.65,19.05,18.55,15897100
2024-07-17,19.0,19.4,18.8,19.0,18.5,34909100
2024-07-16,18.9,19.1,18.8,19.0,18.5,17481000
2024-07-15,19.05,19.1,18.7,18.8,18.3,16131600
2024-07-12,19.1,19.2,18.95,19.0,18.5,16053100
2024-07-11,19.2,19.55,19.05,19.05,18.55,25226500
2024-07-10,19.5,19.55,19.2,19.2,18.69,15163800
2024-07-09,19.2,19.45,19.0,19.4,18.89,32010600
2024-07-08,19.2,19.3,19.0,19.05,18.55,16156200
2024-07-05,19.05,19.3,19.0,19.15,18.64,18430400
2024-07-04,19.15,19.45,19.05,19.05,18.55,26247200
2024-07-03,19.0,19.2,18.75,19.0,18.5,20129200
2024-07-02,19.0,19.2,18.8,18.95,18.45,16424000
2024-07-01,18.65,19.05,18.5,19.0,18.5,16520100
2024-06-28,18.95,19.3,18.6,18.65,18.16,41520600
2024-06-27,19.0,19.05,18.7,19.0,18.5,25081800
2024-06-26,19.0,19.1,18.55,19.0,18.5,27222600
2024-06-25,18.85,19.2,18.85,19.0,18.5,19532800
2024-06-24,19.45,19.6,18.85,18.85,18.35,45272700
2024-06-21,19.7,19.85,19.35,19.6,19.08,48973500
2024-06-20,19.15,19.8,19.0,19.7,19.18,66042200
2024-06-19,18.65,19.2,18.4,19.0,18.5,51393800
2024-06-18,18.8,19.1,18.6,18.6,18.11,35291600
2024-06-17,18.7,19.05,18.45,18.75,18.25,26718200
2024-06-14,19.45,19.5,18.7,18.7,18.2,35956600
2024-06-13,19.5,19.8,19.25,19.45,18.93,44255400
2024-06-12,18.3,19.4,18.15,19.4,18.89,69932300
2024-06-11,18.2,18.35,18.05,18.3,17.82,31079900
2024-06-10,18.05,18.2,18.0,18.05,17.57,10496400
2024-06-07,18.25,18.25,17.95,18.0,17.52,9957000
2024-06-06,18.15,18.25,17.95,18.1,17.62,16613400
2024-06-05,18.2,18.3,18.1,18.1,17.62,11802100
2024-06-04,18.4,18.4,18.15,18.2,17.72,9138000
2024-06-03,18.1,18.45,18.05,18.3,17.82,14012200
2024-05-31,17.95,18.05,17.9,18.0,17.52,5706900
2024-05-30,18.0,18.0,17.7,17.95,17.47,10458100
2024-05-29,18.1,18.1,17.95,18.05,17.57,8290900
2024-05-28,18.1,18.2,18.0,18.05,17.57,8406700
2024-05-27,18.15,18.15,17.95,18.0,17.52,7401000
2024-05-24,18.4,18.5,18.0,18.0,17.52,19560300
2024-05-23,18.3,18.5,18.15,18.5,18.01,9367000
2024-05-22,18.8,18.8,18.25,18.3,17.82,22572900
2024-05-21,19.8,19.85,19.6,19.8,18.3,24050900
2024-05-20,19.55,19.85,19.5,19.8,18.3,25252400
2024-05-17,19.4,19.45,19.25,19.4,17.93,12369500
2024-05-16,19.2,19.45,19.1,19.4,17.93,20748200
2024-05-15,19.25,19.25,19.05,19.05,17.61,10503000
2024-05-14,19.0,19.3,18.9,19.1,17.65,20931300
2024-05-13,18.55,18.9,18.45,18.8,17.38,16732700
2024-05-10,18.7,18.75,18.4,18.5,17.1,10354900
2024-05-09,18.65,18.85,18.5,18.75,17.33,9750600
2024-05-08,18.65,18.8,18.5,18.55,17.15,10945500
2024-05-07,18.75,18.85,18.55,18.8,17.38,7408000
2024-05-06,18.5,18.75,18.4,18.75,17.33,11299500
2024-05-03,18.4,18.5,18.35,18.4,17.01,10568400
2024-05-02,18.55,18.6,18.3,18.3,16.92,6332900
2024-04-26,18.4,18.6,18.3,18.55,17.15,8253200
2024-04-25,18.75,18.75,18.35,18.6,17.19,10618000
2024-04-24,18.5,18.75,18.4,18.6,17.19,13072600
2024-04-23,18.35,18.6,18.0,18.4,17.01,15635300
2024-04-22,18.4,18.6,18.25,18.3,16.92,8682900
2024-04-19,18.15,18.5,17.95,18.1,16.73,15355900
2024-04-17,18.95,19.05,18.15,18.15,16.78,13194900
2024-04-16,18.7,19.0,18.5,18.75,17.33,23551000
2024-04-15,19.6,19.8,18.4,18.6,17.19,28346300
2024-04-12,19.4,19.7,19.4,19.7,18.21,17723300
2024-04-11,19.35,19.6,19.3,19.35,17.89,9554900
2024-04-10,19.4,19.95,19.3,19.35,17.89,29210400
2024-04-09,19.35,19.4,19.15,19.35,17.89,9349100
2024-04-08,19.45,19.45,19.1,19.4,17.93,8428800
2024-04-05,19.1,19.45,19.0,19.45,17.98,11106300
2024-04-04,19.4,19.6,19.2,19.3,17.84,12592700
2024-04-03,19.35,19.5,19.25,19.35,17.89,16269600
2024-04-02,19.55,19.6,18.9,19.55,18.07,25838800
2024-04-01,19.6,19.75,19.45,19.65,18.16,11686300
2024-03-29,19.7,19.8,19.45,19.75,18.26,20541100
2024-03-28,19.65,19.8,19.5,19.65,18.16,14691300
2024-03-27,19.65,19.75,19.35,19.6,18.12,16220800
2024-03-26,18.9,19.6,18.9,19.6,18.12,37172800
2024-03-25,18.8,19.15,18.65,18.9,17.47,19751100
2024-03-22,18.9,19.0,18.65,18.8,17.38,14969100
2024-03-21,18.75,18.95,18.55,18.75,17.33,16882000
2024-03-20,18.2,18.65,18.2,18.65,17.24,11504800
2024-03-19,18.2,18.5,18.1,18.15,16.78,12349900
2024-03-18,18.65,18.7,17.95,18.2,16.82,23317100
2024-03-15,18.75,18.8,18.55,18.65,17.24,13581400
2024-03-14,19.1,19.1,18.65,18.8,17.38,9582800
2024-03-13,18.65,19.1,18.6,19.05,17.61,10986000
2024-03-12,18.55,18.75,18.5,18.55,17.15,10959400
2024-03-11,18.95,19.1,18.55,18.55,17.15,16575400
2024-03-08,19.45,19.5,18.95,19.0,17.56,29743400
2024-03-07,19.4,19.6,19.4,19.45,17.98,8016100
2024-03-06,19.8,19.85,19.5,19.55,18.07,6629200
2024-03-05,19.6,19.75,19.55,19.75,18.26,8094000
2024-03-04,19.8,19.8,19.6,19.6,18.12,12989200
2024-03-01,19.9,19.9,19.65,19.65,18.16,9758900
2024-02-29,20.1,20.2,19.65,19.9,18.39,17115500
2024-02-28,19.4,19.9,19.4,19.9,18.39,20960400
2024-02-27,19.35,19.5,19.2,19.35,17.89,17762400
2024-02-26,19.55,19.55,19.2,19.25,17.79,12770300
2024-02-23,19.7,20.25,19.5,19.5,18.02,42130600
2024-02-22,19.8,19.9,19.6,19.7,18.21,10541600
2024-02-21,19.6,20.0,19.6,19.75,18.26,17579300
2024-02-20,19.7,19.75,19.5,19.6,18.12,16244900
2024-02-19,19.85,19.95,19.65,19.8,18.3,11047900
2024-02-16,19.95,19.95,19.7,19.85,18.35,7324700
2024-02-15,19.6,20.15,19.6,19.8,18.3,19362100
2024-02-07,19.35,19.6,19.3,19.6,18.12,10722600
2024-02-06,19.3,19.4,19.2,19.3,17.84,5805600
2024-02-05,18.85,19.45,18.85,19.2,17.75,10730400
2024-02-02,19.15,19.2,18.8,18.8,17.38,16720300
2024-02-01,19.35,19.35,19.1,19.15,17.7,6507100
2024-01-31,19.65,19.7,19.15,19.4,17.93,20001700
2024-01-30,19.65,19.85,19.65,19.7,18.21,6805100
2024-01-29,19.75,19.75,19.55,19.75,18.26,4834600
2024-01-26,19.7,19.75,19.65,19.75,18.26,7546300
2024-01-25,19.65,19.7,19.55,19.65,18.16,5002000
