date,ticker,open,high,low,close,volume,adjusted_close
2019-01-02,ACB,29.6,29.6,28.9,29.2,1103106,6.48
2019-01-03,ACB,26.3,29.1,26.3,28.1,1956382,6.24
2019-01-04,ACB,28.0,28.5,27.6,28.3,2771983,6.28
2019-01-07,ACB,28.9,28.9,28.5,28.7,1305819,6.37
2019-01-08,ACB,31.4,31.4,28.5,28.5,846226,6.33
2019-01-09,ACB,28.6,29.1,28.5,29.0,2196358,6.44
2019-01-10,ACB,29.0,29.1,28.9,28.9,1378687,6.42
2019-01-11,ACB,29.0,29.1,28.8,28.9,1250077,6.42
2019-01-14,ACB,28.8,28.9,28.7,28.7,937155,6.37
2019-01-15,ACB,28.2,29.1,26.5,29.1,901146,6.46
2019-01-16,ACB,29.1,29.3,28.8,28.8,509354,6.4
2019-01-17,ACB,28.9,29.1,28.8,28.9,737519,6.42
2019-01-18,ACB,29.0,29.0,28.4,28.6,1412966,6.35
2019-01-21,ACB,28.7,30.0,28.7,29.5,2079830,6.55
2019-01-22,ACB,29.7,29.8,29.1,29.1,1845725,6.46
2019-01-23,ACB,29.0,29.2,28.9,29.1,1160094,6.46
2019-01-24,ACB,29.2,29.5,29.0,29.2,1743450,6.48
2019-01-25,ACB,29.8,29.8,29.1,29.2,836534,6.48
2019-01-28,ACB,29.2,29.3,28.0,28.9,997088,6.42
2019-01-29,ACB,28.8,29.0,28.6,29.0,1091518,6.44
2019-01-30,ACB,31.0,31.0,29.0,29.3,1565464,6.51
2019-01-31,ACB,29.6,29.8,29.3,29.4,1674668,6.53
2019-02-01,ACB,29.4,29.6,29.3,29.5,781100,6.55
2019-02-11,ACB,29.8,30.9,29.6,30.2,1713857,6.71
2019-02-12,ACB,30.2,30.6,30.2,30.5,2059630,6.77
2019-02-13,ACB,30.6,30.7,30.3,30.5,2093177,6.77
2019-02-14,ACB,30.5,30.5,30.1,30.1,1357835,6.68
2019-02-15,ACB,30.1,30.4,30.0,30.2,2176902,6.71
2019-02-18,ACB,30.2,30.5,30.2,30.4,1908779,6.75
2019-02-19,ACB,30.5,30.5,30.2,30.3,2754758,6.73
2019-02-20,ACB,30.3,30.5,30.2,30.4,1693486,6.75
2019-02-21,ACB,30.4,30.7,30.1,30.1,2970459,6.68
2019-02-22,ACB,30.2,30.8,30.0,30.5,3974330,6.77
2019-02-25,ACB,30.7,31.4,30.5,31.0,3874034,6.88
2019-02-26,ACB,30.8,31.2,30.6,30.8,2277127,6.84
2019-02-27,ACB,30.8,30.9,30.5,30.6,1544839,6.8
2019-02-28,ACB,30.8,30.8,29.7,29.7,3793504,6.6
2019-03-01,ACB,29.8,30.1,29.5,30.0,1478830,6.66
2019-03-04,ACB,30.0,30.5,29.9,30.4,3120806,6.75
2019-03-05,ACB,30.4,30.7,30.1,30.3,2465893,6.73
